data_type,mean(ds),rank_corr(ds),mean(bs),rank_corr(bs),mean(nli_contrast_ent),rank_corr(nli_contrast_ent),mean(nli_contrast_neut),rank_corr(nli_contrast_neut),mean(nli_contrast_cont),rank_corr(nli_contrast_cont),mean(nli_contrast_agg),rank_corr(nli_contrast_agg),experiment_name
base,69.80167519030176,1.0,79.60724232291666,1.0,11.027344927724329,1.0,28.513727019736013,1.0,60.458928052539655,1.0,88.97265507227569,1.0,20230613_234743_agg-final-01-biascont-aggall
similarity,55.38348358159326,0.3167225775910703,63.85253033333333,0.2317099843864142,23.31736087009662,0.2979369210814129,6.853020512017859,0.0511524841163449,69.82961861788552,0.2621362852961821,76.6826391299034,0.2979369210814129,20230613_234743_agg-final-01-biascont-aggall
selfparaphrase,45.41454122378718,0.2409218157105451,34.95007597916667,-0.0698732577717536,36.56593449509043,0.3400167600888836,0.4856700147629871,-0.025982364325703,62.948395490146574,0.4006911197690506,63.434065504909576,0.3400167600888839,20230613_234743_agg-final-01-biascont-aggall
paraphrase,71.47002481159281,0.5196857483133628,81.33789397916667,0.7310161823145316,12.394342946227887,0.734431145578514,28.011220585598977,0.6612354680918983,59.59443646817312,0.7312536659698963,87.6056570537721,0.7344311455785142,20230613_234743_agg-final-01-biascont-aggall
negation,25.664613024825982,0.1249665622027155,34.97048464583333,-0.1370728341527534,0.1225490196078431,-0.1328566035778381,0.0,,99.87745098039215,0.0452266202515477,99.87745098039215,-0.1328566035778381,20230613_234743_agg-final-01-biascont-aggall
base,69.80167519030176,1.0,79.60724232291666,1.0,10.055185134577512,0.9999999999999998,54.275059536907634,1.0,35.669755328514846,1.0,89.94481486542247,1.0,20230614_034855_agg-final-02-biascont-aggsum
similarity,55.38348358159326,0.3167225775910703,63.85253033333333,0.2317099843864142,27.89700149650064,0.3510068031783641,19.170386537969858,0.0415645554020424,52.932611965529496,0.320191853561401,72.10299850349935,0.3510068031783641,20230614_034855_agg-final-02-biascont-aggsum
selfparaphrase,45.41454122378718,0.2409218157105451,34.95007597916667,-0.0698732577717536,45.582805591807336,0.4509831266633757,1.6154675384143362,0.014860442573814,52.80172686977832,0.3858444649035173,54.41719440819266,0.4509831266633757,20230614_034855_agg-final-02-biascont-aggsum
paraphrase,71.47002481159281,0.5196857483133628,81.33789397916667,0.7310161823145316,10.63237542258175,0.6851169305594622,53.40955630738235,0.7149975119000687,35.95806827003589,0.7803473125118776,89.36762457741823,0.6851169305594625,20230614_034855_agg-final-02-biascont-aggsum
negation,25.664613024825982,0.1249665622027155,34.97048464583333,-0.1370728341527534,0.1225490196078431,-0.1398801287348461,0.0,,99.87745098039215,-0.0747680195072861,99.87745098039215,-0.1398801287348463,20230614_034855_agg-final-02-biascont-aggsum
