,entity_pair,split,entity_a_name,entity_b_name,summary_type,summary_no,mention,ent_type,similarity_a,similarity_b
0,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Around the holidays season,DATE,0.29485776685967974,-1.0
1,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Palm,GPE,0.37681663492230416,-1.0
2,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Christmas,DATE,0.11003656783342987,-1.0
3,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Duval street,PERSON,0.1947668942886028,-1.0
4,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,last minute,TIME,0.005408206301397373,-1.0
5,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Christmas,DATE,0.11003656783342987,-1.0
6,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Smather,ORG,0.0,-1.0
7,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,one,CARDINAL,0.044546489560819455,-1.0
8,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Key West,LOC,0.9081536761632545,-1.0
9,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,9,CARDINAL,0.15495237467139805,-1.0
10,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,11,CARDINAL,0.1132141134516475,-1.0
11,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Duval Street,FAC,0.4021442440971143,-1.0
12,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,Smathers Beach,GPE,0.4958043036700213,-1.0
13,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,only an hour,TIME,-0.01908190126995622,-1.0
14,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,every hour,TIME,-0.0270519443687295,-1.0
15,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,9pm,TIME,0.07392676175387856,-1.0
16,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,between $10 and $35,MONEY,0.15513183894748847,-1.0
17,0,train,Sheraton Suites Key West,The Inn at Key West,refs_b,0,Florida,GPE,-1.0,0.3836289900090407
18,0,train,Sheraton Suites Key West,The Inn at Key West,refs_b,1,Florida,GPE,-1.0,0.3836289900090407
19,0,train,Sheraton Suites Key West,The Inn at Key West,refs_b,2,Florida,GPE,-1.0,0.3836289900090407
20,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,1,Playa del Karma,ORG,0.9222920417664514,-1.0
21,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,1,5th Avenue,FAC,0.2999818587430151,-1.0
22,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,2,5th Avenue,FAC,0.2999818587430151,-1.0
23,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,2,Playa,GPE,0.7462452927683482,-1.0
24,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,2,a good night,TIME,-0.0141801295199512,-1.0
25,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,0,Yucatan,GPE,-1.0,0.26350763898781654
26,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,0,Cancun,GPE,-1.0,0.5118986036249641
27,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,0,two,CARDINAL,-1.0,0.017524438825244102
28,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,1,only around 45 minutes,TIME,-1.0,0.13629374197565688
29,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,1,Cancun,GPE,-1.0,0.5118986036249641
30,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,1,two,CARDINAL,-1.0,0.017524438825244102
31,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,one,CARDINAL,-1.0,0.02056709276316209
32,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,Cancun,GPE,-1.0,0.5118986036249641
33,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,only 45 minutes,TIME,-1.0,0.12172836016125302
34,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,5th Avenue,FAC,-1.0,0.33645262917313135
35,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,all hours of the day,TIME,-1.0,0.10281651593359456
36,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_a,1,the Grand Canal,FAC,0.35320642205703845,-1.0
37,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_a,1,St. Lucia,GPE,0.27447787096681664,-1.0
38,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_a,1,the summer,DATE,0.10519696570557716,-1.0
39,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_a,2,one,CARDINAL,-0.03986874775483895,-1.0
40,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_b,1,the Saint Giorgio Maggiore,FAC,-1.0,0.08776820242280284
41,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_b,1,St. Mark's,ORG,-1.0,0.1416795033280582
42,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_b,2,the St Giorgio maggiore church island,FAC,-1.0,0.10313065782701679
43,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_b,2,St Marks Square,FAC,-1.0,0.28989053590854896
44,3,train,Apollo Hotel,Raffaello Hotel,refs_a,0,Colosseum,ORG,0.48522715420395973,-1.0
45,3,train,Apollo Hotel,Raffaello Hotel,refs_a,0,ten minute,TIME,0.040622712466310884,-1.0
46,3,train,Apollo Hotel,Raffaello Hotel,refs_a,0,English,LANGUAGE,0.056252984624860086,-1.0
47,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,Apollo,ORG,0.5718096460110297,-1.0
48,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,Rome,GPE,0.2734071034447004,-1.0
49,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,around seven minutes,TIME,0.08347925270651269,-1.0
50,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,around fifteen minutes,TIME,0.08898501928976135,-1.0
51,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,the Trevi Fountain,FAC,0.29099589224086075,-1.0
52,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,English,LANGUAGE,0.056252984624860086,-1.0
53,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,Rome,GPE,0.2734071034447004,-1.0
54,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,three,CARDINAL,0.015989592994198453,-1.0
55,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,7-minute,TIME,0.1496562584522422,-1.0
56,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,Colosseum,FAC,0.48522715420395973,-1.0
57,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,English,LANGUAGE,0.056252984624860086,-1.0
58,3,train,Apollo Hotel,Raffaello Hotel,refs_b,0,Rome,GPE,-1.0,0.27305433846435573
59,3,train,Apollo Hotel,Raffaello Hotel,refs_b,1,three,CARDINAL,-1.0,-0.028347725958869648
60,3,train,Apollo Hotel,Raffaello Hotel,refs_b,1,Continental,NORP,-1.0,0.2181265289723928
61,3,train,Apollo Hotel,Raffaello Hotel,refs_b,2,The Raffaello Hotel,ORG,-1.0,0.7203051738562213
62,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,0,Indian Point,LOC,0.39613618238437287,-1.0
63,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,0,only one,CARDINAL,0.03232655478676366,-1.0
64,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,0,all night,TIME,-0.020127344320931807,-1.0
65,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,1,2,CARDINAL,0.00030903473103103987,-1.0
66,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,1,Strip,LOC,0.17784887441062597,-1.0
67,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,1,One,CARDINAL,0.10553959435936257,-1.0
68,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,1,all night,TIME,-0.020127344320931807,-1.0
69,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_b,2,Chateau,ORG,-1.0,0.36132207061956845
70,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_b,2,one,CARDINAL,-1.0,0.07570153840883571
71,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_b,2,Spring Break,EVENT,-1.0,0.2622028257138138
72,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_b,2,a good night,TIME,-1.0,0.17997589730642213
73,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,0,Apple TV,ORG,0.061662747448185416,-1.0
74,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,0,second,ORDINAL,0.15046463685630188,-1.0
75,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,1,Apple TV,ORG,0.061662747448185416,-1.0
76,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,1,the morning,TIME,0.19265634048453834,-1.0
77,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,1,One,CARDINAL,0.03813788106641642,-1.0
78,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,1,second,ORDINAL,0.15046463685630188,-1.0
79,5,train,Hotel Victoria,One King West Hotel & Residence,refs_b,2,30,MONEY,-1.0,-0.029766154908718766
80,5,train,Hotel Victoria,One King West Hotel & Residence,refs_comm,2,the Eaton Centre,FAC,0.46186399231544595,0.3550149697022323
81,6,train,Gladstone Hotel,Delta Chelsea,refs_a,1,Queen St West,LOC,0.39281893779553295,-1.0
82,6,train,Gladstone Hotel,Delta Chelsea,refs_a,2,The Gladstone Hotel Toronto,ORG,0.7647847504342421,-1.0
83,6,train,Gladstone Hotel,Delta Chelsea,refs_a,2,Gladstone,ORG,0.5862541162892708,-1.0
84,6,train,Gladstone Hotel,Delta Chelsea,refs_a,2,the 20th century,DATE,0.19716697324433674,-1.0
85,6,train,Gladstone Hotel,Delta Chelsea,refs_b,1,Toronto,GPE,-1.0,0.3226749072697584
86,6,train,Gladstone Hotel,Delta Chelsea,refs_b,1,the Eaton Centre,ORG,-1.0,0.2974105103631608
87,6,train,Gladstone Hotel,Delta Chelsea,refs_b,1,around 25 minutes',TIME,-1.0,0.1308425214607168
88,6,train,Gladstone Hotel,Delta Chelsea,refs_b,1,the CN Tower,FAC,-1.0,0.2617543541362834
89,6,train,Gladstone Hotel,Delta Chelsea,refs_b,2,Toronto,GPE,-1.0,0.3226749072697584
90,7,train,Avenue Plaza Resort,Royal Sonesta Hotel New Orleans,refs_a,0,St. Charles,GPE,0.3274893229349743,-1.0
91,7,train,Avenue Plaza Resort,Royal Sonesta Hotel New Orleans,refs_a,0,the Garden District,LOC,0.47262777561352565,-1.0
92,7,train,Avenue Plaza Resort,Royal Sonesta Hotel New Orleans,refs_a,0,the French Quarter,EVENT,0.2288525302009536,-1.0
93,7,train,Avenue Plaza Resort,Royal Sonesta Hotel New Orleans,refs_a,2,a good night,TIME,-0.04063325496508698,-1.0
94,7,train,Avenue Plaza Resort,Royal Sonesta Hotel New Orleans,refs_b,1,night,TIME,-1.0,0.13405205994247069
95,7,train,Avenue Plaza Resort,Royal Sonesta Hotel New Orleans,refs_b,1,the early morning,TIME,-1.0,0.249255528657033
96,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_a,0,Venice,GPE,0.20307918858199683,-1.0
97,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_a,0,the day,DATE,0.017762709851329318,-1.0
98,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_a,1,Venice,GPE,0.20307918858199683,-1.0
99,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_a,1,Venice,GPE,0.20307918858199683,-1.0
100,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_a,1,Continental,NORP,0.2461882800624869,-1.0
101,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_a,2,Venice,GPE,0.20307918858199683,-1.0
102,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_a,2,Venice,GPE,0.20307918858199683,-1.0
103,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_b,0,only a few minutes,TIME,-1.0,-0.06506328339187935
104,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_b,1,Vaporetto,PRODUCT,-1.0,0.0
105,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_b,1,St. Mark's,FAC,-1.0,0.10136085312103792
106,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_b,1,about an hour's,TIME,-1.0,-0.11837663355299513
107,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_b,1,just 15 minutes,TIME,-1.0,0.041803662924021046
108,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_b,1,Brucinellis,PRODUCT,-1.0,0.0
109,8,train,Locanda Sant'Agostin,BEST WESTERN Hotel Olimpia,refs_b,2,waterbus,ORG,-1.0,0.0
110,9,train,Outrigger Reef on the Beach,Queen Kapiolani Hotel,refs_a,0,Italian,NORP,0.22054407979086502,-1.0
111,9,train,Outrigger Reef on the Beach,Queen Kapiolani Hotel,refs_a,1,Waikiki,GPE,0.35146623113646647,-1.0
112,9,train,Outrigger Reef on the Beach,Queen Kapiolani Hotel,refs_a,1,first,ORDINAL,0.35840109825346145,-1.0
113,9,train,Outrigger Reef on the Beach,Queen Kapiolani Hotel,refs_a,1,Pearl Harbor,LOC,0.3892056789360937,-1.0
114,9,train,Outrigger Reef on the Beach,Queen Kapiolani Hotel,refs_a,2,two,CARDINAL,0.20990973595555623,-1.0
115,9,train,Outrigger Reef on the Beach,Queen Kapiolani Hotel,refs_b,0,fourth,ORDINAL,-1.0,0.12245403242315213
116,9,train,Outrigger Reef on the Beach,Queen Kapiolani Hotel,refs_b,0,three nights,DATE,-1.0,0.12107957147323913
117,9,train,Outrigger Reef on the Beach,Queen Kapiolani Hotel,refs_b,0,every single day,DATE,-1.0,0.006773795528779864
118,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,0,Dam Square,FAC,0.381485925504888,-1.0
119,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,0,Anne Franks House,PERSON,0.39933612506394456,-1.0
120,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,1,Amsterdam,GPE,0.4024207141978395,-1.0
121,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,1,"Leidslein, Dam Square",FAC,0.3870813356691355,-1.0
122,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,1,Anne Frank's,PERSON,0.17224338576515474,-1.0
123,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,2,Leidsplein,GPE,0.0,-1.0
124,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,2,Herengeraacht,GPE,0.0,-1.0
125,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,2,the Dam Square,FAC,0.3693939754291024,-1.0
126,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,2,Anne Frank's,PERSON,0.17224338576515474,-1.0
127,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_a,2,Central Amsterdam,GPE,0.40677024154101765,-1.0
128,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_b,0,Metro,FAC,-1.0,0.3980572150603294
129,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_b,0,Central Station,FAC,-1.0,0.6960928832352599
130,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_b,0,Apple TV,ORG,-1.0,0.0242246758124613
131,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_b,1,Apple TV,ORG,-1.0,0.0242246758124613
132,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_b,2,Metro,FAC,-1.0,0.3980572150603294
133,10,train,Rembrandt Classic Hotel,Doubletree by Hilton Hotel Amsterdam Centraal Station,refs_b,2,Apple TV,ORG,-1.0,0.0242246758124613
134,11,train,Hotel Le Marais,Ambassador Hotel,refs_a,0,midnight,TIME,0.0764740164633377,-1.0
135,11,train,Hotel Le Marais,Ambassador Hotel,refs_a,1,Hotel le Marais,FAC,0.754222894063524,-1.0
136,11,train,Hotel Le Marais,Ambassador Hotel,refs_a,1,only 1/2,CARDINAL,-0.08091460246729992,-1.0
137,11,train,Hotel Le Marais,Ambassador Hotel,refs_a,1,Bourbon Street,FAC,0.28514083279115765,-1.0
138,11,train,Hotel Le Marais,Ambassador Hotel,refs_a,1,midnight,TIME,0.0764740164633377,-1.0
139,11,train,Hotel Le Marais,Ambassador Hotel,refs_a,2,evening,TIME,0.10819918561959448,-1.0
140,11,train,Hotel Le Marais,Ambassador Hotel,refs_b,1,New Orleans,GPE,-1.0,0.25471347105736863
141,11,train,Hotel Le Marais,Ambassador Hotel,refs_b,1,New Orleans,GPE,-1.0,0.25471347105736863
142,11,train,Hotel Le Marais,Ambassador Hotel,refs_comm,0,the French Quarter,EVENT,0.27560842009015807,0.22875490012389516
143,11,train,Hotel Le Marais,Ambassador Hotel,refs_comm,1,the French Quarter,EVENT,0.27560842009015807,0.22875490012389516
144,11,train,Hotel Le Marais,Ambassador Hotel,refs_comm,2,the French Quarter,EVENT,0.27560842009015807,0.22875490012389516
145,12,train,Hotel River,Ambasciatori Hotel,refs_a,0,European,NORP,0.09267076976410368,-1.0
146,12,train,Hotel River,Ambasciatori Hotel,refs_a,0,the River Arno,LOC,0.6651227677060586,-1.0
147,12,train,Hotel River,Ambasciatori Hotel,refs_a,1,Arno,PERSON,0.2662311904955854,-1.0
148,12,train,Hotel River,Ambasciatori Hotel,refs_a,2,Arno,PERSON,0.2662311904955854,-1.0
149,12,train,Hotel River,Ambasciatori Hotel,refs_b,0,Florence,GPE,-1.0,0.25753770500480816
150,12,train,Hotel River,Ambasciatori Hotel,refs_b,0,Fiosole,PRODUCT,-1.0,0.0
151,12,train,Hotel River,Ambasciatori Hotel,refs_b,0,Michelangelo,PERSON,-1.0,0.08547024126934065
152,12,train,Hotel River,Ambasciatori Hotel,refs_b,2,Fiosole,PRODUCT,-1.0,0.0
153,12,train,Hotel River,Ambasciatori Hotel,refs_b,2,Michelangelo,PERSON,-1.0,0.08547024126934065
154,12,train,Hotel River,Ambasciatori Hotel,refs_b,2,Florence,PERSON,-1.0,0.25753770500480816
155,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,0,Lincoln Park,GPE,0.4097738523203419,-1.0
156,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,0,Clark Street,FAC,0.37019266106359455,-1.0
157,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,0,one,CARDINAL,-0.10821656066090307,-1.0
158,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,0,two,CARDINAL,-0.09176316257774057,-1.0
159,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,1,one,CARDINAL,-0.10821656066090307,-1.0
160,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,1,two,CARDINAL,-0.09176316257774057,-1.0
161,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,1,four,CARDINAL,-0.018180544873025603,-1.0
162,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,1,one,CARDINAL,-0.10821656066090307,-1.0
163,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,1,two,CARDINAL,-0.09176316257774057,-1.0
164,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,2,Clark Street,FAC,0.37019266106359455,-1.0
165,13,train,Days Inn Chicago,The Talbott Hotel,refs_a,2,Century Mall,FAC,0.46421603945495127,-1.0
166,13,train,Days Inn Chicago,The Talbott Hotel,refs_b,1,the Gold Coast,LOC,-1.0,0.5136057636935901
167,13,train,Days Inn Chicago,The Talbott Hotel,refs_b,1,Michigan Avenue,FAC,-1.0,0.36754172430477683
168,13,train,Days Inn Chicago,The Talbott Hotel,refs_b,1,late at night,TIME,-1.0,0.2325063763980415
169,13,train,Days Inn Chicago,The Talbott Hotel,refs_b,1,iHome,ORG,-1.0,0.12156748685986385
170,13,train,Days Inn Chicago,The Talbott Hotel,refs_b,2,Michigan Avenue,FAC,-1.0,0.36754172430477683
171,13,train,Days Inn Chicago,The Talbott Hotel,refs_b,2,Navy Pier,FAC,-1.0,0.3052085596957277
172,13,train,Days Inn Chicago,The Talbott Hotel,refs_b,2,Hancock Tower,FAC,-1.0,0.47386763481892274
173,13,train,Days Inn Chicago,The Talbott Hotel,refs_b,2,the Sears Tower,FAC,-1.0,0.606254575059461
174,13,train,Days Inn Chicago,The Talbott Hotel,refs_b,2,TV's,ORG,-1.0,0.1695321379378287
175,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_a,0,Singapore,GPE,0.7944437525119543,-1.0
176,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_a,2,every penny,MONEY,0.025361235319573815,-1.0
177,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_a,2,those rainy days,DATE,0.07502991920360368,-1.0
178,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_a,2,afternoon,TIME,0.24093389469216328,-1.0
179,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_b,0,the Orchard Road,FAC,-1.0,0.2374892780615766
180,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_b,0,afternoon,TIME,-1.0,0.06918275618018829
181,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_b,1,Singapore,GPE,-1.0,0.18209642680492244
182,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_b,1,afternoon,TIME,-1.0,0.06918275618018829
183,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_b,2,Singapore,GPE,-1.0,0.18209642680492244
184,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_b,2,Champagne,PERSON,-1.0,0.3253633166641187
185,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_b,2,the Eggs Benedict,PRODUCT,-1.0,0.129979811492114
186,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_b,2,afternoon,TIME,-1.0,0.06918275618018829
187,14,train,Raffles Hotel Singapore,Shangri-La Hotel,refs_b,2,the day of the week,DATE,-1.0,0.08030381671610151
188,15,train,Grand Hotel Toronto,The Fairmont Royal York,refs_a,0,Eaton Centre,ORG,0.5575709802212854,-1.0
189,15,train,Grand Hotel Toronto,The Fairmont Royal York,refs_a,0,Yonge Street,FAC,0.4996308825566786,-1.0
190,15,train,Grand Hotel Toronto,The Fairmont Royal York,refs_a,1,The Grand Hotel,FAC,0.7812848364108187,-1.0
191,15,train,Grand Hotel Toronto,The Fairmont Royal York,refs_a,1,Toronto,GPE,0.7380064400955284,-1.0
192,15,train,Grand Hotel Toronto,The Fairmont Royal York,refs_a,1,the Eaton Centre,FAC,0.5148392740331595,-1.0
193,15,train,Grand Hotel Toronto,The Fairmont Royal York,refs_a,1,Yonge Street,FAC,0.4996308825566786,-1.0
