,entity_pair,split,entity_a_name,entity_b_name,summary_type,summary_no,mention,ent_type,similarity_a,similarity_b
0,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Around the holidays season,DATE,-0.18806596100330353,-1.0
1,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Palm,GPE,-0.2359163463115692,-1.0
2,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Christmas,DATE,-0.2760891318321228,-1.0
3,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Duval street,PERSON,-0.003533144248649478,-1.0
4,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,last minute,TIME,-0.36374691128730774,-1.0
5,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Christmas,DATE,-0.2760891318321228,-1.0
6,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Smather,ORG,-0.16598375141620636,-1.0
7,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,one,CARDINAL,-0.4391017556190491,-1.0
8,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Key West,LOC,0.19970852136611938,-1.0
9,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,9,CARDINAL,-0.2924164831638336,-1.0
10,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,11,CARDINAL,-0.31717872619628906,-1.0
11,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Duval Street,FAC,0.02389005571603775,-1.0
12,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,Smathers Beach,GPE,0.1404808610677719,-1.0
13,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,only an hour,TIME,-0.35013285279273987,-1.0
14,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,every hour,TIME,-0.3727416694164276,-1.0
15,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,9pm,TIME,-0.23737643659114838,-1.0
16,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,between $10 and $35,MONEY,-0.2936760187149048,-1.0
17,0,train,Sheraton Suites Key West,The Inn at Key West,refs_b,0,Florida,GPE,-1.0,0.05893106013536453
18,0,train,Sheraton Suites Key West,The Inn at Key West,refs_b,1,Florida,GPE,-1.0,0.05893106013536453
19,0,train,Sheraton Suites Key West,The Inn at Key West,refs_b,2,Florida,GPE,-1.0,0.05893106013536453
20,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,1,Playa del Karma,ORG,0.6948691606521606,-1.0
21,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,1,5th Avenue,FAC,-0.40241730213165283,-1.0
22,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,2,5th Avenue,FAC,-0.40241730213165283,-1.0
23,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,2,Playa,GPE,-0.6184101104736328,-1.0
24,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,2,a good night,TIME,-0.6015626788139343,-1.0
25,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,0,Yucatan,GPE,-1.0,0.03493292257189751
26,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,0,Cancun,GPE,-1.0,0.06593023240566254
27,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,0,two,CARDINAL,-1.0,-0.2847755551338196
28,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,1,only around 45 minutes,TIME,-1.0,-0.3120894432067871
29,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,1,Cancun,GPE,-1.0,0.06593023240566254
30,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,1,two,CARDINAL,-1.0,-0.2847755551338196
