,entity_pair,split,entity_a_name,entity_b_name,summary_type,summary_no,mention,ent_type,similarity_a,similarity_b
0,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Around the holidays season,DATE,-0.02600361406803131,-1.0
1,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Palm,GPE,-0.15738829970359802,-1.0
2,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Christmas,DATE,-0.26588189601898193,-1.0
3,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,Duval street,PERSON,-0.026601670309901237,-1.0
4,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,0,last minute,TIME,-0.46855297684669495,-1.0
5,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Christmas,DATE,-0.26588189601898193,-1.0
6,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Smather,ORG,-0.16192227602005005,-1.0
7,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,one,CARDINAL,-0.44751134514808655,-1.0
8,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Key West,LOC,0.47356295585632324,-1.0
9,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,9,CARDINAL,-0.24686674773693085,-1.0
10,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,11,CARDINAL,-0.2587730288505554,-1.0
11,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,1,Duval Street,FAC,0.009183118119835854,-1.0
12,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,Smathers Beach,GPE,0.2798285484313965,-1.0
13,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,only an hour,TIME,-0.5033170580863953,-1.0
14,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,every hour,TIME,-0.4741446077823639,-1.0
15,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,9pm,TIME,-0.2697179615497589,-1.0
16,0,train,Sheraton Suites Key West,The Inn at Key West,refs_a,2,between $10 and $35,MONEY,-0.49345266819000244,-1.0
17,0,train,Sheraton Suites Key West,The Inn at Key West,refs_b,0,Florida,GPE,-1.0,-0.026821715757250786
18,0,train,Sheraton Suites Key West,The Inn at Key West,refs_b,1,Florida,GPE,-1.0,-0.026821715757250786
19,0,train,Sheraton Suites Key West,The Inn at Key West,refs_b,2,Florida,GPE,-1.0,-0.026821715757250786
20,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,1,Playa del Karma,ORG,0.869642436504364,-1.0
21,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,1,5th Avenue,FAC,0.0633789449930191,-1.0
22,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,2,5th Avenue,FAC,0.0633789449930191,-1.0
23,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,2,Playa,GPE,-0.0286306943744421,-1.0
24,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_a,2,a good night,TIME,-0.38066795468330383,-1.0
25,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,0,Yucatan,GPE,-1.0,0.023779846727848053
26,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,0,Cancun,GPE,-1.0,0.10582615435123444
27,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,0,two,CARDINAL,-1.0,-0.12019086629152298
28,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,1,only around 45 minutes,TIME,-1.0,-0.4729726314544678
29,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,1,Cancun,GPE,-1.0,0.10582615435123444
30,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,1,two,CARDINAL,-1.0,-0.12019086629152298
31,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,one,CARDINAL,-1.0,-0.2357642501592636
32,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,Cancun,GPE,-1.0,0.10582615435123444
33,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,only 45 minutes,TIME,-1.0,-0.44131478667259216
34,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,5th Avenue,FAC,-1.0,0.41430315375328064
35,1,train,Hotel Playa del Karma,Mahekal Beach Resort,refs_b,2,all hours of the day,TIME,-1.0,0.00654036458581686
36,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_a,1,the Grand Canal,FAC,-0.032073285430669785,-1.0
37,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_a,1,St. Lucia,GPE,0.2372264415025711,-1.0
38,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_a,1,the summer,DATE,-0.3572913706302643,-1.0
39,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_a,2,one,CARDINAL,-0.48542454838752747,-1.0
40,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_b,1,the Saint Giorgio Maggiore,FAC,-1.0,0.20311684906482697
41,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_b,1,St. Mark's,ORG,-1.0,0.1947033405303955
42,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_b,2,the St Giorgio maggiore church island,FAC,-1.0,0.18467940390110016
43,2,train,Hotel Abbazia,Savoia & Jolanda Hotel,refs_b,2,St Marks Square,FAC,-1.0,0.018656503409147263
44,3,train,Apollo Hotel,Raffaello Hotel,refs_a,0,Colosseum,ORG,0.09172949194908142,-1.0
45,3,train,Apollo Hotel,Raffaello Hotel,refs_a,0,ten minute,TIME,-0.35593166947364807,-1.0
46,3,train,Apollo Hotel,Raffaello Hotel,refs_a,0,English,LANGUAGE,-0.2141154259443283,-1.0
47,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,Apollo,ORG,0.2215254157781601,-1.0
48,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,Rome,GPE,-0.8041330575942993,-1.0
49,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,around seven minutes,TIME,-0.38419878482818604,-1.0
50,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,around fifteen minutes,TIME,-0.37140530347824097,-1.0
51,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,the Trevi Fountain,FAC,0.17192189395427704,-1.0
52,3,train,Apollo Hotel,Raffaello Hotel,refs_a,1,English,LANGUAGE,-0.2141154259443283,-1.0
53,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,Rome,GPE,-0.8041330575942993,-1.0
54,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,three,CARDINAL,-0.4172573387622833,-1.0
55,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,7-minute,TIME,-0.3502967953681946,-1.0
56,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,Colosseum,FAC,0.09172949194908142,-1.0
57,3,train,Apollo Hotel,Raffaello Hotel,refs_a,2,English,LANGUAGE,-0.2141154259443283,-1.0
58,3,train,Apollo Hotel,Raffaello Hotel,refs_b,0,Rome,GPE,-1.0,-0.7869306802749634
59,3,train,Apollo Hotel,Raffaello Hotel,refs_b,1,three,CARDINAL,-1.0,-0.12164651602506638
60,3,train,Apollo Hotel,Raffaello Hotel,refs_b,1,Continental,NORP,-1.0,-0.2081492394208908
61,3,train,Apollo Hotel,Raffaello Hotel,refs_b,2,The Raffaello Hotel,ORG,-1.0,0.8456368446350098
62,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,0,Indian Point,LOC,0.5958406329154968,-1.0
63,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,0,only one,CARDINAL,-0.5710659623146057,-1.0
64,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,0,all night,TIME,-0.452774316072464,-1.0
65,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,1,2,CARDINAL,-0.272437185049057,-1.0
66,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,1,Strip,LOC,-0.022137349471449852,-1.0
67,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,1,One,CARDINAL,-0.3185940384864807,-1.0
68,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_a,1,all night,TIME,-0.452774316072464,-1.0
69,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_b,2,Chateau,ORG,-1.0,0.5465257167816162
70,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_b,2,one,CARDINAL,-1.0,-0.29526713490486145
71,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_b,2,Spring Break,EVENT,-1.0,-0.07663862407207489
72,4,train,Village At Indian Point,Chateau on the Lake Resort & Spa,refs_b,2,a good night,TIME,-1.0,-0.3118235170841217
73,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,0,Apple TV,ORG,-0.004599704407155514,-1.0
74,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,0,second,ORDINAL,-0.45154061913490295,-1.0
75,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,1,Apple TV,ORG,-0.004599704407155514,-1.0
76,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,1,the morning,TIME,-0.3354867994785309,-1.0
77,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,1,One,CARDINAL,-0.5229284763336182,-1.0
78,5,train,Hotel Victoria,One King West Hotel & Residence,refs_a,1,second,ORDINAL,-0.45154061913490295,-1.0
79,5,train,Hotel Victoria,One King West Hotel & Residence,refs_b,2,30,MONEY,-1.0,-0.11019933223724365
80,5,train,Hotel Victoria,One King West Hotel & Residence,refs_comm,2,the Eaton Centre,FAC,0.17292511463165283,0.12673147022724152
81,6,train,Gladstone Hotel,Delta Chelsea,refs_a,1,Queen St West,LOC,0.029092133045196533,-1.0
82,6,train,Gladstone Hotel,Delta Chelsea,refs_a,2,The Gladstone Hotel Toronto,ORG,0.5182253122329712,-1.0
83,6,train,Gladstone Hotel,Delta Chelsea,refs_a,2,Gladstone,ORG,0.2718612849712372,-1.0
84,6,train,Gladstone Hotel,Delta Chelsea,refs_a,2,the 20th century,DATE,-1.5303139662137255e-05,-1.0
85,6,train,Gladstone Hotel,Delta Chelsea,refs_b,1,Toronto,GPE,-1.0,-0.7619484066963196
86,6,train,Gladstone Hotel,Delta Chelsea,refs_b,1,the Eaton Centre,ORG,-1.0,-0.1732805371284485
87,6,train,Gladstone Hotel,Delta Chelsea,refs_b,1,around 25 minutes',TIME,-1.0,-0.4291404187679291
88,6,train,Gladstone Hotel,Delta Chelsea,refs_b,1,the CN Tower,FAC,-1.0,-0.22596827149391174
89,6,train,Gladstone Hotel,Delta Chelsea,refs_b,2,Toronto,GPE,-1.0,-0.7619484066963196
90,7,train,Avenue Plaza Resort,Royal Sonesta Hotel New Orleans,refs_a,0,St. Charles,GPE,-0.11419159919023514,-1.0
91,7,train,Avenue Plaza Resort,Royal Sonesta Hotel New Orleans,refs_a,0,the Garden District,LOC,0.18492500483989716,-1.0
