summ_type,split,example_id,summ_a,summ_a_neg,nli_contrast_agg_score
ref,dev,0,The hotel has conference rooms available. The conference rooms can be rented out for conferences and corporate events. The location of this hotel makes it easy to access restaurants. The location of this hotel makes it easy to access the river. The location of this hotel makes it easy to access shops. The rooms are a good size. The rooms are well decorated. The bathroom in the hotel was large. The bathroom in the hotel had a large bathtub. Small touches like a chocolate on the pillow are nice. The hotel has a roof terrace. The roof terrace is for drinks. The hotel is missing the availability of a pool. Unfortunately.,The hotel doesn't have conference rooms available. There are no conference rooms that can be rented out for conferences and corporate events. The location of this hotel makes it very difficult to access restaurants. The location of this hotel makes it very difficult to access the river. The location of this hotel makes it difficult to access shops. The rooms are small. The rooms are badly decorated. The bathroom in the hotel was small. The bathroom in the hotel had a small bathtub. Small touches like a chocolate on the pillow are terrible. The hotel lacks a roof terrace. The roof terrace is not for drinks. The hotel has a pool available. Fortunately.,1
ref,dev,1,"This is a hotel. The hotel is located in an excellent place. It is perfect to walk to the entertainment district. It is perfect to walk to pubs and restaurants. Rooms on the higher floors are excellent. They can provide a great view. The room itself is of a lovely quality. The room had a full kitchen, which is incredibly useful. The hotel offers a complimentary breakfast. The breakfast was really good.","This is not a hotel. The hotel is located in a terrible place. It is not close enough to walk to the entertainment district. It is not close enough to walk to pubs and restaurants. Rooms on the higher floors are terrible. They provide a disagreeable view. The room itself is of an uncomely quality. The room lacked a full kitchen, which was incredibly incovenient. The hotel provides a paid breakfast. The breakfast was egregious.",1
ref,dev,2,"The hotel has a level of homely comfort. Sometimes, the hotel lacks small personal touches. The hotel is connected to a subway. The hotel sits above the Pacific Place shopping mall. It can take a while to travel to the business district. The rooms are really modern. The rooms are lacking in style. The rooms are lacking in space. The hotel has a cafe that provides lunch. The lunch was really expensive and equally as disappointing. You can get drinks from the bar that's in the foyer. The hotel had good facilities available. The facilities included a gym and a pool.",The hotel doest feel homely on any level. The hotel does not lack any personal touches. The hotel is not close to a subway. The hotel is not close to any shopping malls. It takes no time to travel to the business district. The rooms are outmoded. The rooms are stylish. The rooms are spacious. The hotel has a cafe that does not provide lunch. The lunch was really pocket-friendly and did not disappoint. There is no bar to get drinks from. The hotel has no facilities available at all. The facilities were devoid of both a gym and a pool.,1
ref,dev,3,"The hotel was clean. The hotel was reasonably priced. The hotel needs a makeover. The hotel would improve if some of the charges were lowered. This hotel is located in a really great area. It is a really handy walk to the shopping area and restaurants. There is a convention centre nearby. The rooms are spacious. The rooms are flawlessly clean. Everything you could possibly need is available in the rooms. The bed was unbelievably comfortable. The bed provided a great night's sleep. The hotel is a little bit outdated. The hotel is in need of a bit of an upgrade. The hotel had an expensive breakfast. Overall, the food is great. The pool at the hotel is open for a good amount of time for guests. There is parking available. The parking is a bit expensive. The hotel can help out with the parking.","The hotel was filthy. The hotel was very expensive. The hotel was very stylish. The hotel would not improve if some of the charges were lowered. The hotel is located in a very run-down area. It is a very long walk to the shopping area and restaurants. There is no convention centre nearby. The rooms are small. The rooms are superlatively filthy. Nothing you need is available in the rooms. The bed was unbelievably uncomfortable. The bed did not provide a great night's sleep. The hotel is very modern. The hotel is fully upgraded. The hotel has a breakfast that is light on your wallet. Overall, the food is bad. The pool at the hotel is barely open for guests. There is no place to park. The parking is cheap. The hotel does not provide any assistance with parking.",1
ref,dev,4,"This hotel is greatly loved. The hotel is well kept. The hotel is comfortable. Everything you could need in terms of shops and restaurants are really close to this hotel. This hotel is superbly located. There are plenty of attractions. The attractions include a theatre and cathedral. The theatre and cathedral are just around the corner. The view from the luxurious room was really nice. The view was overlooking the courtyard. The view was nice when it was sunny. Rooms can accommodate four people. The rooms are comfortable. The rooms are really clean. Additionally, the rooms can accommodate four people while still being comfortable and really clean. The doorman was always at the entrance of the hotel to greet guests. The great staff were very welcoming. There was a buffet for breakfast. The food provided was great-tasting. There is a great outdoor dining area. It was well-suited for eating lunch. Additionally, it is available. There were toiletries available at this hotel. The toiletries were great. The price was really reasonable. The hotel is comfortable and elegant.","The hotel is highly detested. The hotel is run-down. Comfort is the last thing you would associate with the hotel. In terms of shops and restaurants, nothing is close to the hotel. The hotel is terribly located. There are no attractions. The attractions do not include a theatre or a cathedral. The theatre and the cathedral are extremely far. The view from the luxurious room was surprisingly bad. The view did not overlook the courtyard. The view wasn't nice even when it was sunny. Rooms cannot accomodate four people. The rooms are uncomfortable. The rooms are really dirty. Additionally, the rooms cannot accommodate four people while being uncomfortable and really dirty. The doorman was never at the entrance of the hotel to greet guests. The staff were not welcoming. There was no buffet for breakfast. The food provided was bad-tasting. There is a mediocre outdoor dining area. It was not suited for eating lunch. Additionally, it is not available. There were no toiltries available at this hotel. The toiletries were abysmal. The price was unreasonable. The hotel is uncomfortable and inelegant.",1
ref,dev,5,"The hotel is great. The hotel provides a safe place to stay. It is a favourite. It is a favourite with guests. The hotel is close to the metro line. The hotel is close to Rembrandt Square. The hotel is away from the louder tourist areas. The room was quite small at this hotel. The room was quite modern and clean. Everything was wheelchair-accessible, which was fantastic. There was no shower curtain. The bathroom floor was somewhat wet. The staff was at the front desk. The staff was unhelpful to guests. The hotel provides a fantastic selection of food. The food is available in their seafood bistro. The WiFi is in the hotel lobby. The WiFi is very slow. The carpet was dirty. The exterior of the hotel is noisy and overcrowded.","The hotel sucks. The hotel did not provide a safe place to stay. Is is not a favorite. It is not a favorite with guests. The hotel is far away from the metro line. The hotel is far away from Rembrandt Square. The hotel is near louder tourist areas. The room was quite big at this hotel. The room was quite old and dirty. Nothing was wheelchair-accessible, which was disappointing. There was a shower curtain. The bathroom floor was dry. The staff was not at the front desk. The staff was helpful to the guests. The hotel provides a bad selection of food. The food is not available in their seafood bistro. There is no WiFi in the hotel lobby. The WiFi is very fast. The carpet was clean. The exterior of the hotel is quiet and not overcrowded.",1
ref,dev,6,This is a hotel. It is a great hotel. It is a little hotel. It isn't a full-on resort. It was nice all the same. There are many things to do. The things to do are within walking distance. The hotel rooms are smaller. The hotel rooms are clean. The hotel rooms are furnished well with antiques for some charm. The breakfast was at the hotel. The breakfast was adequate. The coffee was great. Some items were missing. There was a run-down feel here. The carpeting did not help. The atmosphere was worn-down. The elevators weren't that big. A surfboard could not even fit in it.,This is not a hotel. This is not a great hotel. It is a big hotel. It is a full-on resort. It was not nice all the same. There are few things to do. The things to do are not within walking distance. The hotel rooms are bigger. The hotel rooms are dirty. The hotel rooms are not furnished well with antiques for any charm. The breakfast was not at the hotel. The breakfast was inadequate. The coffee was bad. All items were present. There was a well-maintained feel here. The carperting helped. The atmosphere was pristine. The elevators were big. A surfboard could easily fit in it.,1
ref,dev,7,The hotel is tranquil. The hotel is clean. The hotel is an enjoyable place to stay whilst in Rome. The hotel is close to a number of local restaurants. The hotel is close to the busier areas of Rome. The rooms in the hotel are adequate. The bathrooms are spacious. The staff leave a chocolate on the beds. The chocolate is left each night. The chocolate is for their guests. The buffet breakfast was very good. The hotel's corridors were quite plain. The corridors could benefit from some decoration. The free Wi-Fi worked well. The Bulgari toiletries smelled lovely.,The hotel is bustling. The hotel is dirty. The hotel is a miserable place to stay whilst in Rome. The hotel is far from the local restaurants. The hotel is far from the busier areas of Rome. The rooms in the hotel are inadequate. The bathrooms are small. The staff do not leave a chocolate on the beds. The chocolate is not left each night. The chocolate is not for their guests. The buffet breakfast was very bad. The hotel's corridors were quite fancy. The corridors can not benefit from any decoration. The free Wi-Fi did not work well. The Bulgari toiletries smelled horrible.,1
ref,dev,8,The hotel provided a great stay. The hotel is really recommended. The hotel is located close to Giotto's Campanile. The rooms in this hotel are really great. The rooms in this hotel are quite spacious. There was outside noise. The noise came from the bells in the morning. It was difficult to navigate the hotel. The difficulty was due to the floor layout.,The hotel provided a terrible stay. The hotel is not really recommended. The hotel is not located close to Giotto's Campanile. The rooms in this hotel are really bad. The rooms in this hotel are quite cramped. There was no outside noise. The noise did not come from the bells in the morning. It was easy to navigate the hotel. The easieness was due to the floor layout.,1
ref,dev,9,This is a great place for a short stay. It will likely make you want to come back again. The hotel isn't centrally located. The area is quite safe. The location is pretty good. The rooms are in the hotel. The rooms are modern. Some of the hotel's staff seemed disinterested. There was an incident at the hotel. The staff did not help with the incident. You can get a complimentary coffee from the barista. It is worth mentioning. There is a coffee machine supplied here. The coffee machine is fine. The parking is available at the hotel. The cost of parking is 12 a night.,This is an awful place for a short stay. It will likely make you not want to come back again. The hotel is centrally located. The area is quite dangerous. The location is pretty terrible. The rooms are not in the hotel. The rooms are ancient. All of the hotel's staff seemed motivated. There was no incidents at the hotel. The staff helped with the incident. You cannot get a complimentary coffee from the barista. It is not worth mentioning. There is no coffee machine supplied here. The coffee machine is not fine. The parking is not available at the hotel. The cost of parking is not 12 a night.,1
