summ_type,split,example_id,summ_a,summ_b,summ_comm,bs_score
gen,dev,20,"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.","

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves. It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center. The chambers are roomy and neat, containing a recently refurbished restroom. Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips. Sadly, there isn't any free Wi-Fi connection.","

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.",0.72364527
gen,dev,21,"This small hotel is perfect for couples or families, or anyone looking for a quiet place to stay that is away from the hustle and bustle of the tourist areas. The hotel is situated on the Grand Canal and close to the Salute Church. The view from the hotel's roof terrace and breakfast room is absolutely fantastical. The room was large and featured a Venetian decoration. The staff at the hotel were polite and helpful, with no problems with the English language. There is a simple lunch menu that they don't publicise but you can eat it in the roof terraces or in the breakfast room or in","

This hotel is ideal for those who seek a peaceful retreat away from the typical tourist areas. The property is positioned on the famous Grand Canal and is just a short distance from the charming Salute Church. From its roof terrace and breakfast room, guests are offered beautiful views of the surroundings. The accommodations were neatly decorated in the classic Venetian style and generous in size. On top of this, the staff was extremely courteous and proficient in English, making for an even more enjoyable stay. Likewise, guests have the option to order a light lunch, served in any of the three aforementioned rooms.","

This hotel is a great choice for individuals looking for an escape away from the more popular tourist spots. Its location on the well-known Grand Canal only adds to its appeal, as it is very close to the enchanting Salute Church. Its rooftop patio and breakfast room offer wonderful sights of the neighbourhood. The rooms have a traditional Venetian style design, and they are all quite spacious. What's more, the staff is very friendly and many of them are capable of speaking English fluently. Additionally, guests can request lunch to be served in any of the three common rooms.",0.53875834
gen,dev,22,"Hotel Cielo is a great place to stay for first time visitors to Playa Del Carmen. This hotel is perfectly located for just about everything. You can walk to 4th street for great restaurants and horseback riding at Rancho Punto Venado which offers a lovely beach, buffet, bar and ATV's. The larger rooms at this hotel are really reasonably priced. Henery the concierge had lots of great information and helped arrange taxis to the airport. Carboncitos, the restaurant downstairs, has delicious breakfasts.","

Hotel Cielo is perfect for anyone new to Playa Del Carmen, situated close to some of the best attractions. Visitors can enjoy 4th Street's great eateries plus horseback rides and ATV fun at Ranch Punto Venado's lovely beach on top of that. Prices are fair for the larger rooms here, and the concierge Henery had lots of helpful information and accessed a cab for us at the airport. Carboncitos, the in-house dining venue, serve up scrumptious breakfasts.","

Those new to Playa Del Carmen will find Hotel Cielo to be an excellent choice, as it is located close to many of the best places to experience. 4th Street offers interesting dining choices while nearby Ranch Punto Venado has enjoyable horseback rides and ATV tours. Costs are reasonable for the larger rooms, and the accommodating staff member, Henery, was very knowledgeable and organized transportation from the airport for us. Carboncitos, the on-site restaurant, served up mouth-watering breakfasts.",0.65163213
gen,dev,23,"This hotel is an extremely well-located and highly recommended place to stay, having never been to Montreal before. The artwork contained within the hotel put the Museum of Contemporary Art to shame. The rooms are charming, comfy, and with beautifully design antique furniture. Each room is slightly different with some elegant remnants of its bank days:( suite 318 is the old vault. renovated). The art in the lobby bar is impressive and really makes you feel welcome. Valet parking is convenient too.","

This hotel is a highly recommended place to stay if you've never visited Montreal before due to its excellent location. The art within the building is breathtaking and surpasses even the Museum of Contemporary Art. The bedrooms are comfortable, inviting and contain unique antique furniture. Every room is unique, with Suite 318 being the old bank vault that has since been renovated. The lobby bar's artwork is stunning and adds to the pleasant feeling of the area. Valet parking is also available for convenience.","

If you're planning a visit to Montreal, this hotel is a great place to stay for a memorable experience. It has a top notch location, and the artwork featured within its walls is even more impressive than the Museum of Contemporary Art. Every room offers comfort and a unique feel, with Suite 318, the former bank vault, especially interesting. The lobby bar displays magnificent works of art that all help contribute to its inviting atmosphere. Plus, the hotel provides valet parking for added convenience.",0.5845807
gen,dev,24,"This hotel is great value for money and is very stylish. If you ring them they will give you the room you want. The hotel is in an excellent location near Le Pont Neuf, with restaurants and pattiseries nearby. The rooms in this hotel are decorated by the famous designer Christian Lacroix. Some are too trendy for your tastes, such as the one with the flock wallpaper and the large bath room. Even though the decor is dramatic, the room is very easy to relax in and has all the mod cons needed for a good stay.","

This hotel is a good bargain and is very modern. When you contact them, they will provide you with your desired accommodation. It is located close to Le Pont Neuf, with lots of eateries and bakeries around. The hotel's rooms have all been designed by renowned designer Christian Lacroix, with some of them rightfully flamboyant, like the one with its flock wallpaper and extravagant bathroom. Despite its bold design, the room offers a great degree of comfort, containing all the necessary features for a pleasant stay.","

This hotel is worth the money and is quite up-to-date. By contacting them, you can obtain the lodgings you want. It is close to the Le Pont Neuf, offering numerous eateries and bakeries. The rooms were created by celebrated designer Christian Lacroix, a few of which can be rather vibrant, such as the one with its feathered wall decoration and over-the-top restroom. Despite its strong stylizing, the quarters have all the needed requirements for a pleasing visit.",0.6514788
gen,dev,25,"The Swissotel Sydney On Market Street is a nice hotel with a quaint charm to it. The location of the hotel is excellent and within easy walking distance of tourist attractions such as the town hall rail station and the town halls station. The rooms in the hotel are comfortable and clean. However, the bathrooms are rather small and the shower in the bathroom was rather small. The food provided by the hotel was very limited and the prices were a little more than what was advertised on their website.","

Staying at the famed Swissotel Sydney On Market Street is a pleasant experience due to its quaint atmosphere. The proximity to popular tourist destinations, such as town hall rail station and town halls station, increase its convenience. The accommodations in the hotel are comfortable and clean, albeit the bathrooms are relatively cramped and the shower is of a modest size. Nevertheless, the food selection was a tad sparse. Furthermore, the rates were slightly elevated when compared to the published information on their website.","

Spending time at the renowned Swissotel Sydney located on Market Street offers a cozy atmosphere. Its close location to the popular tourist sites, such as town hall rail station and town halls station, add to its advantages. Although the rooms are cozy and tidy, the bathrooms are quite cramped and the shower is of small proportions. An unsatisfactory feature of the hotel however, was the lack of food choices. Additionally, the prices were slightly higher than what was detailed on their online site.",0.65555006
gen,dev,26,"This hotel is good value for money. The hotel is conveniently located and only a short walk to the MRT, Clarke Quay, National Museum and the National Museum. The rooms at this hotel are non-smoking and there is no wifi in rooms. Rooms at floor which are not yet removated are run down. The service was good and the staff were very pleasant and helpful. The buffet breakfast and dinner meals were changed all the time. There is a pool but unfortunately the wardrobes smelt smoky.","

This hotel offers great affordability. It is well-placed and situated just a quick walk to the MRT, Clarke Quay, National Museum and the National Museum. Non-smoking rooms are available, yet there is no internet access. The interior of the bedrooms which have not been overhauled are in need of repairs. The staff were attentive and obliging, and the various buffets available for breakfast and dinner were regularly changed. Although there is a pool, the wardrobe exudes an odour of tobacco smoke.","

This hotel is price-friendly and great value for money. It's conveniently located near public transport, the MRT station, Clarke Quay and the National Museum. Non-smoking rooms are available, but unfortunately wifi is not. The rooms themselves have not been newly decorated and require some repairs. The staff are courteous and always willing to help, and the breakfast and dinner buffets are varied and new each day. There is a pool available, but unfortunately the premise has a distinct aroma of cigarette smoke.",0.5753275
gen,dev,27,This hotel is perfectly situated for a stopover as it is central and close to the Raffles Centre and the MRT. There is a Burger King and a 7-Eleven store nearby for cheap bottled water. The hotel is clean and the rooms in this hotel are quite dated. The aircon in the rooms was quite cold and the key wasn't plugged into the power system. The staff at this hotel were very friendly and offered great eatery suggestions. The only problem is the strip of marble on the floor separating the main room with the bathroom was quite high and is a killer on the toes if not careful!,"

This hotel is conveniently located near the Raffles Centre and the MRT. Nearby, you can also find a Burger King and a 7-Eleven store, where you can buy inexpensive bottled water. The hotel itself is clean and the rooms, while a bit dated, had a potent AC. However, the power supply wasn't plugged in to the room key. The staff at this hotel were helpful and helpful with giving dining recommendations. The one concerning issue is that the marble strip separating the bedroom from the bathroom is quite high and may cause one to stub their toe if not careful.","

This hotel is situated in the vicinity of the Raffles Centre and the MRT station, giving it a desirable location. Furthermore, there are Burger King and 7-Eleven outlets close to it, which are good places to buy reasonably-priced bottled water. The interiors of this hotel were tidy and the air conditioner, while a bit outdated, functioned well. Nonetheless, the power supply was not linked to the key card. The team at this establishment was helpful and aided guests by providing tips regarding eateries. The only minor downside is the elevated marble strip between the bedroom and bathroom, which could lead to",0.6361415
gen,dev,28,"The hotel has an authentic Ottoman feel and is close enough to all the major historical sites in Sultanahmet (e.g. Blue Mosque, Haghia Sofia, Hippodrome etc.). The view from the hotel is terrific and you can walk to all of them without feeling tired. The rooms in the hotel are small and in need of updating, but they are clean and in good condition. The staff at the hotel were very helpful and nice. Turkish Delights on the roof is a great place to have breakfast and snacks/drinks with great views of the Bosphorous and the surrounding neighourbood.","

The hotel has a genuine Ottoman flavor, and is conveniently situated near a variety of noteworthy attractions in Sultanahmet, including the Blue Mosque, Haghia Sofia, and Hippodrome. From the roof of the establishment, one can catch a beautiful view of the Bosphorous and its surroundings, and the guests are able to walk to the areas of interests without any fatigue. Although its rooms could use some improvement, they are tidy and in sound condition. The staff members are also extremely friendly and accommodating. To top it off, Turkish Delights on the roof is the perfect spot to relax with breakfast and refreshments while taking in the pictures","que scenery.

The hotel has a unique Turkish atmosphere, and is conveniently located close to some of Sultanahmet's most well-known landmarks such as the Blue Mosque, Haghia Sofia, and Hippodrome. From the top of the building, one can enjoy a stunning view of the Bosphorous and its inhabitants, and visitors are able to access the area without any difficulty. The rooms, while slightly worn, are clean and in good shape. The staff are very helpful and kind too. Furthermore, Turkish Delights on the roof serves up delicious breakfasts and drinks while offering a tranquil environment to soak up the stunning surroundings.",0.6006427
gen,dev,29,The hotel looks great on their website. This hotel is really close to San Marco Piazza which is an excellent place to eat. The hotel rooms are spacious and well looked after. The rooms are also very clean. The owners of the hotel were really nice to their guests. The breakfast was great and varied. The only downside to the hotel is that there is no restaurant to eat out.,"

The hotel displays nicely on their website and is inside walking distance to San Marco Piazza, a great spot to eat. The accommodations are roomy and nicely maintained, and they're very tidy too. The hosts were really kind to their patrons. The morning meal was tasty and wide-ranging. The only drawback is that there is not an on-site eatery.","

The hotel presents itself nicely on the web and is a short walk away from San Marco Piazza, a nice area to grab something to eat. The rooms are quite spacious and well kept, nicely organized as well. The hosts were very kind and welcoming. The breakfast selection was delicious and extensive. The only downside is that there is not a restaurant on the premises.",0.67096585
gen,test,30,"This hotel is worth every penny, especially if you are a Marriott points member. The hotel is located on the island of Key West and there is a shuttle service to downtown Key West but it would have been nicer to have been within walking distance of the hotel. The room was absolutely beautiful, including the jetted tubs in the bathroom and a spacious stand-up shower. The only downside is that the food provided by the hotel was powdered eggs, which was $4 extra per person.","

This hotel is absolutely worth the money, especially if you're a Marriott rewards member. Situated on Key West, there is a shuttle to Key West City, yet it would have been more convenient to be within strolling distance. The room was gorgeous, featuring the jetted tubs in the bathroom and a roomy stand-up shower. The only disadvantage was the powdered eggs offered by the hotel, which meant an additional cost of $4 per person.","

This property is certainly worth the investment, particularly if you're a part of Marriott's rewards program. It is situated in Key West, providing a convenient shuttle to the downtown area, although it would have been more convenient to be able to walk. The suite was glossy, including jetted bathtubs in the restroom and a roomy two-person shower. The only downside was the powdered eggs which were an added cost of $4 per person.",0.7057236
gen,test,31,"This is a great small hotel that offers a great experience for the money. It's centrally located near the Central Station in a quiet neighborhood in Amsterdam. The rooms in this hotel are a little small but are generally a pretty good value. This hotel has a reasonable price and has an excellent location near the central station but still in a very nice area, Jordaan. The hotel provides a continental breakfast with toast and jam and also tea and coffee. Internet is also available for free.","

This great little hotel has a lot to offer for a good price, being situated conveniently close to Central Station in a peaceful area in Amsterdam. Even though the room size may be slightly diminutive, the cost is far more reasonable than expected. Being nearby Central Station as well as in an area such as Jordaan gives the hotel an ideal location. A continental breakfast with toast, jam, tea, and coffee is provided, plus free access to the internet.","

This charming little hotel offers a host of attractions at an easily affordable cost. It is located in a tranquil part of Amsterdam right near Central Station, with easy access to the Jordaan neighbourhood. Even though the room size may not be particularly spacious, it comes at a small price. As part of their service, they offer a continental breakfast with toast, jelly, tea and coffee, as well as providing free Wi-Fi.",0.5460354
gen,test,32,"The hotel is in an excellent situation close to the Blue Mosque, Grand Bazaar etc and in the heart of the old City of Istanbul, close to tram and autobus and the main street in Sultanahmet. Stunning views of the city andsea from the roof top terrace. Rooms are cosy but adequate for a short stay. The staff at the hotel were very pleasant and smiley, although there was no brush in the toilet. Free internet access in the reception area was an unexpected bonus.","

The hotel is located conveniently next to the Blue Mosque, Grand Bazaar, and the historic area of Istanbul. It is easily accessible by tram and bus routes, as well as the principal street in Sultanahmet. Guests are treated to spectacular views of the city and ocean from the terrace. The rooms are cozy and suffice for a quick stay. The staff were very pleasant, though the bathroom needed a toilet brush. Additionally, they offer free internet access in the lobby, which was a welcome surprise.","

The hotel is situated close to attractions such as the Blue Mosque, Grand Bazaar and the old quarters of Istanbul. It is simply accessible with the tram and bus lines, and by the main avenue in Sultanahmet. From the terrace, there are magnificent sightings of the city and the ocean. The rooms are snug and are enough for a short stay. The staff were very cordial and the bathroom needed a toilet brush. Furthermore, the hotel provides free Wi-Fi access in the lobby, which was an unexpected bonus.",0.6997602
gen,test,33,"The La Quinta Hotel Chicago is a great mid-level chain hotel. The location is great because it is close to the Willis Tower and other attractions. Public transportation is readily assessable and the hotel is within walking distance to most sights within the downtown loop. The rooms were really spacey and outdated but the bathrooms were huge. The food was really good and the continental breakfast was really nice. The only snafu was the outside flags mounted to the window of the room during a really windy time around 3-4am kept banging. Everything was clean, neat and the folks were super, super nice!","

The La Quinta Hotel Chicago is an excellent chain hotel and its location is perfect, being near to the Willis Tower and other well-known attractions. It is convenient for public transportation and walking distance to many tourist spots. The rooms were large but a bit old-fashioned, however, the bathrooms were huge! The food was delicious and the continental breakfast excellent. The only issue we experienced was the outside flags against our window making a lot of noise at about 3-4am during a windy time. Everything was still well kept, organised, and the staff were extremely friendly!","

The La Quinta Hotel Chicago is a great hotel that provides a fabulous location near to the Willis Tower and many other sights. It is easily accessible from public transportation and is only a short distance away from many tourist destinations. The rooms were a bit dated, but the bathrooms were huge! The food was delicious, and the continental breakfast was great. The only issue we encountered was the loud noise of flags flapping in the wind that woke us up around 3 or 4 in the morning. Despite this, everything was still maintained in an orderly manner and the staff were beyond friendly!",0.6700384
gen,test,34,"The Pullman hotel is well-placed next to the party-beach area and is within walking distance of Port Olympic, the Beach and Barcelonetta. The hotel has two pools, one roof top pool with bar and one rooftop pool. The rooms are of a good size and are well presented with generous portions. The bed is super comfortable and the bathroom is also really luxurious. The staff at the hotel are all very friendly and helpful. The food was really good and catered for all people. The only negatives were no English tv stations.","

The Pullman hotel, conveniently situatied close to the festive beach zone and within walking area of Port Olympic, the Beach and Barcelonetta, features two pools - one on the rooftop with a bar, while the other is leisure pool. The accommodation provides plenty of space and is adequately equipped with all necessary facilities, including a comfy bed and a lavish bathroom. The hospitable staff are always keen to offer assistance, while the restaurant offers a delicious variety of dishes to suit different tastes. The only downside is lack of English TV programs.","

Situated conveniently near the exciting beach district and just a short walk from Port Olympic, the Beach and Barcelonetta, the Pullman offers guests two pools, one located on the roof with a bar included, and the other a leisurely pool. The spacious rooms provide all the amenities needed for a comfortable stay, with a comfy bed and well-appointed bathroom. The friendly staff are happy to help, and the restaurant has a range of dishes to satisfy all hunger. The only downside is the fact that English TV programs are not included.",0.5936654
