summ_type,split,example_id,summ_a,summ_b,bs_score
ref,train,0,"This all suite hotel is flawless. Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights. This hotel is so close to the beach and is perfectly located for peace and quiet. The airport and Duval street is only a short shuttle away, but downtown is quite far away. Morden rooms with great size and a lot of storage space. The beds are super comfortable. The bathroom is also pretty large with a nice vanity area. The staff were even willing to help with last minute late checkout request. The restaurant provides great food, but it closes too early for us. The hotel actually has bikes to rent. Parking close-by can be very pricey per day. The elevators feel not safe.","

This hotel, which offers nothing but suites, is perfect. During the Christmas period, the hotel was festively adorned with beautiful Palm trees and twinkling lights. This hotel is situated in a peaceful spot just a short distance from the beach. The airport and Duval Street are only a short ride away via shuttle, however, downtown is quite a distance away. Modern rooms with ample size and plenty of storage. The beds are extremely cozy. The restroom is fairly spacious, with a pleasant vanity area. The personnel were even accommodating to assist with a late checkout request that came in at the last minute. The restaurant offers excellent cuisine, however it shuts down too soon for us. The hotel provides bicycles for rental. Parking in the vicinity can be quite expensive on a daily basis. The elevators do not feel secure.",0.7670456
ref,train,1,"The hotel has an enjoyable ambience and is great value for money. This location is great if you're looking to access the great fun and action close-by, but with that comes hustle-and-bustle noise from the street the hotel is located on. The rustic rooms here are a little small but really comfortable and clean while the beds are big. There was a thatched roof to the room that provided an airy feel but of course not soundproof. The hotel provides great breakfast to be eaten above the garden or to take away. The hotel does not provide private parking unfortunately.","

The hotel has a pleasant atmosphere and is an excellent deal. If you're searching for an area with plenty of activities close by, this spot is ideal; however, it can get rather noisy due to the traffic on the street it is situated on. The accommodations in this rustic setting are cozy and spotless, though the rooms are a bit cramped. The beds, however, are quite large. The room had a thatched roof, giving it a breezy atmosphere, but unfortunately it was not soundproof. The hotel offers an excellent breakfast that can be enjoyed in the garden or taken to go. Unfortunately, the hotel does not offer any on-site parking.",0.64747447
ref,train,2,"This is a really great place to stay and it's really quiet. The station is really close to the hotel and it is located in an old monastery set in beautiful gardens. The rooms in the hotel are spacious, clean and with air conditioning. The food at the hotel is reasonably priced. The hotel lobby provides free wireless internet and you can also borrow one of their laptops if needed.","

This is an ideal spot to stay and it is very tranquil. The hotel is situated right near the station, and the area is an old monastery with stunning gardens. The hotel rooms are roomy, tidy and equipped with air conditioning. The cost of the food at the hotel is affordable. The hotel lobby offers complimentary wifi and you have the option of borrowing one of their laptops if needed.",0.78964394
ref,train,3,"If you're looking for a decent clean hotel then this is the right one for you because it provides a pleasant and unforgettable experience. This is a nice location because you can even see the Colosseum from the hotel, which itself is less than a ten minute walk away. The rooms in the hotel are nicely decorated, although some may find the bed small. The day staff spoke English. The hotel has a continental buffet breakfast with good cappuccino available on the roof terrace. The breakfast is very tasty. The showers in the hotel bathrooms are a little small.","

If you're in search of a tidy, respectable hotel, this is the one for you as it delivers a wonderful and unforgettable stay. This place is great because the Colosseum is visible from the hotel, which is only a short distance away. The accommodations at the hotel are nicely adorned, though some may consider the bed to be on the smaller side. The day personnel communicated in English. The hotel offers a continental breakfast spread that includes delicious cappuccino that can be enjoyed on the rooftop patio. The morning meal is especially delicious. The showers in the hotel bathrooms are somewhat diminutive.",0.7713357
ref,train,4,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel. It would be a shame not to come back again. The location of the hotel is perfectly situated on the lake and there is the option to rent boats down at Indian Point if needed. Fantastic views. As well as being really helpful the staff at this hotel were super friendly and nice. The units facing the lake had large covered patios to enjoy your coffee on. There is only one complaint and that is the people in the room above were up all night long, but that is the only downside to this hotel.","

This condo was an excellent choice; it was cozy, accessible, and much more pleasant than a hotel stay. It would be a pity to not return. The hotel is conveniently located near the lake, and there is the possibility of renting boats at Indian Point if desired. Spectacular sights. In addition to being quite helpful, the personnel at this hotel were extremely friendly and pleasant. The apartments that were situated overlooking the lake had spacious balconies with roofs, perfect for sipping coffee. The only issue with this hotel is that the people in the room above were making noise all night, but that is the only negative aspect.",0.7530954
ref,train,5,"The room featured WiFi and Apple TV, which was a great touch. Additionally the shower was excellent. The only negatives really are the pillows were pretty full and there was no refrigerator in the room. The staff at the hotel were polite and accommodating. The sales manager that was contacted was efficient in response and helpful with suggestions. There are great food options around the hotel but the breakfast in the connected restaurant was really great. The second floor of the hotel was recently refurbished and quiet.","

The room had WiFi and Apple TV, which was a really nice addition. Furthermore, the shower was superb. The only drawbacks were that the pillows were quite plump and there was no fridge in the room. The employees at the hotel were courteous and helpful. The sales manager that was reached out to was quick to respond and provided useful advice. The hotel's vicinity offers a variety of delicious food options, but the breakfast served at the restaurant connected to the hotel was especially noteworthy. The hotel's second story was recently remodeled and tranquil.",0.8282309
ref,train,6,Overall the hotel is a really unique place to stay. The location is pretty good but doesn't have great access to a subway line. There's mainstream shopping and the theatre quarters close-by though which adds to how good the location is. The shower in the room was very modern. Most of the staff were friendly to guests. This hotel has a small restaurant that provides superb food that very proudly uses local and organic produce. The hotel has an archaic elevator which is a novelty.,"

In general, this hotel offers a very unusual experience for its guests. The spot is decent, but it doesn't have a great connection to a metro line. The area is great due to the nearness of both mainstream shopping and the theater district. The shower in the room was very up-to-date. Most of the personnel were amiable toward visitors. This hotel features a tiny eatery that serves extraordinary cuisine made with locally sourced and organic ingredients. The hotel has an old-fashioned elevator which is a fun feature.",0.6491013
ref,train,7,"Some would recommend the hotel to others, although some may not. The hotel is ideally situated for transportation routes like the St. Charles line but also in walking distance of the Garden District and a bit further to the French Quarter. The hotel has spacious rooms equipped with a kitchen. The rooms are very clean but the bathrooms are rather small. The shower was excellent. The staff at the hotel were incredibly helpful , particularly the welcoming porters. There is lots of great tasting food available to eat around this hotel. The hotel provides wristbands for entry into the premises which is a pleasing security feature.","

Some people may suggest the hotel to their friends and family, while others may not. The hotel is conveniently located near the St. Charles line and is within walking distance of the Garden District and a short distance away from the French Quarter. The hotel offers room accommodations that are roomy and come with a kitchen. The accommodations are spotless, however the bathrooms are on the cramped side. The shower was superb. The personnel at the hotel were remarkably accommodating, especially the hospitable porters. This hotel has a wide selection of delicious food. The hotel gives out wristbands for entrance to the building, which is a nice security measure.",0.75884706
ref,train,8,"This hotel makes for a really pleasant and delightful stay. You wouldn't want to stay anywhere else if returning to Venice. The hotel is perfectly situated to get to great restaurants and it's close to water-ferry stations. The room in the hotel had a spacious, newly decorated bathroom and a quiet room in general. The rooms are decorated with a respect for history. The breakfast was a little bit basic but it was still a good start to the day with continental-style yoghurts, cereals etc. The hotel is great value for money.","

This hotel provides a truly enjoyable and delightful experience. If you come back to Venice, there is no other place you would rather be. The hotel is conveniently located near some wonderful eateries and is in the vicinity of water-ferry stops. The hotel room was equipped with a large, newly renovated restroom and was peaceful overall. The rooms are adorned with an appreciation for the past. The morning meal was somewhat simple, yet it was still a great beginning to the day with continental-style yoghurts, cereals, and more. The hotel offers an excellent price point.",0.7671834
ref,train,9,"This is a decent place to stay and will leave you feeling happy overall. Initially there was a bit of a rough start here at the hotel but still a nice hotel. There is some peace and quiet here at this hotel but it is still quite close to the action with restaurants and shopping nearby. The room was clean with adequate disabled access , but it may take a while to get access to the room. The staff here are okay and mostly very helpful. They do enforce valet parking however which is a little offputting. Dinner at this hotel was really good and pleasing. There are also other food options nearby such as a restaurant that serves Italian food. There was a small outdoor patio which unfortunately overlooked the pool and other patios and that made it quite noisy. There are valet and parking services available too.","

This place is satisfactory and should leave you feeling content. At first, this hotel had a few hiccups, however it is still a pleasant place to stay. This hotel offers a tranquil atmosphere, yet it is not far from the hustle and bustle of restaurants and stores. The room was in good condition and had sufficient accessibility for disabled people, however it could take some time to gain entry. The personnel at this location are satisfactory and generally quite accommodating. Valet parking is enforced, which can be a bit off-putting. I was delighted with the dinner served at this hotel. Other dining choices in the vicinity include a restaurant that offers Italian cuisine. The patio was small and unfortunately situated in a way that it overlooked the pool and other patios, making it quite loud. Valet and parking services are also offered.",0.6635878
