summ_type,split,example_id,summ_a,summ_b,summ_comm,bs_score
ref,train,0,"This is an all-suite hotel. The hotel is flawless. Around the holidays season, the hotel was well decorated for X-mas. There were lovely Palm trees and Christmas lights. This hotel is so close to the beach. This hotel is perfectly located for peace and quiet. The airport is only a short shuttle away. Duval street is only a short shuttle away. Downtown is quite far away. The rooms are modern. The rooms have great size. The rooms have a lot of storage space. The beds are comfortable. The beds are super comfortable. The bathroom is pretty large. There is a nice vanity area. The staff were willing to help. They were willing to help with a last minute late checkout request. The restaurant provides great food. The restaurant closes too early for us. The hotel has bikes to rent. Parking close-by can be very pricey. The price can be per day. The elevators do not feel safe.","The place is an all-suite hotel. Overall, the place was great. It's not the fanciest. It was beautifully decorated for Christmas with lights on the palm trees. It was very enjoyable. The hotel is just across the street from Smather's Beach. The hotel is only a short walk, shuttle ride or bike trip away from Duval street. The rooms are large and spacious. The rooms have lots of storage space. The rooms are clean with comfortable beds. The rooms have a big bathroom. The vanity is very nice. The room is spacious enough to kick back in. The room is close to one of the few beaches in Key West. The staff was very good in the restaurant. The staff tried to accommodate late checkouts. All who requested it were accommodated if possible. The service was fantastic. The restaurant closed at 9. The bar also closed too early for the crowd at 11. The food was great. The staff was great. The hotel has elevators. The elevators are not recommended to be used. Parking in the Duval Street area is pricey. The hotel has plenty of bicycles that are available to rent too.","The hotel is well maintained. The hotel is functional. The decor is good. The hotel has a public beach. The public beach is named Smathers Beach. The beach is located across the road from the hotel. Duval Street and downtown is only an hour away. You can take the shuttle there too. every hour. The hotel is close to the airport. If you own a bicycle, it is a great location too. The beds were comfortable. The room was spacious. There is lots of storage available. The environment is modern and clean. The room has a large bathroom. The hotel provided excellent food. The restaurant closes at 9pm. Closing at 9pm may be a little early for some tourists. The only complaint is that the elevators are scary. Parking on Duval Street ranges between $10 and $35 per day. The hotel has bikes to rent. Parking costs can be lessened or avoided.",0.3637588
ref,train,1,The hotel has an enjoyable ambience. The hotel is great value for money. This location is great for accessing the great fun and action close-by. There is hustle-and-bustle noise from the street the hotel is located on. The rustic rooms here are a little small. The rustic rooms here are really comfortable and clean. The beds are big. There was a thatched roof to the room. The thatched roof provided an airy feel. The thatched roof was not soundproof. The hotel provides great breakfast. The breakfast can be eaten above the garden. The breakfast can be taken away. The hotel does not provide private parking.,Playa del Karma is perfect for ambiance. It has charm. It has serenity. It is relaxing and pleasant. It is lovely. It is beautiful. The hotel is in close proximity. The proximity is to 5th Avenue Playa Del Carmen. The rooms are adequately sized. The rooms are comfortable and clean. The rooms have high-vaulted ceilings. Breakfasts were really good above the garden. The breakfast-to-go option was great too. There was no private parking available at this hotel.,This hotel is excellent value for money. The hotel offers a pleasant experience. The hotel has a stunning garden. The hotel has a stunning courtyard. The atmosphere is very charming. Guests can relax. The hotel's location is very conveniently located. The location is near 5th Avenue. The location is near Playa. It is a busy street. Noise might be a factor to consider when staying here. The rooms are small and cosy in size. They make up for it in character. The roof is high and vaulted. The roof is thatched. The room has a more airy feel to it. You can listen to the relaxing patter of raindrops. The roof is not soundproof. The quality of the rooms are exceptional. There is lots of space in the rooms. The beds are big and comfortable. The beds provide a good night's sleep. Breakfast could be taken on the go. Breakfast could be taken above the garden. This hotel is lacking in private parking.,0.38088724
ref,train,2,This is a really great place to stay. It's really quiet. The station is really close to the hotel. The station is located in an old monastery. The monastery is set in beautiful gardens. The rooms in the hotel are spacious. The rooms in the hotel are clean. The rooms in the hotel have air conditioning. The food is available at the hotel. The price of the food is reasonable. The hotel lobby provides free wireless internet. You can borrow one of their laptops if needed.,The hotel was impressive. It was easy to get anywhere else. The hotel is close to the train station and the main lines of the canal. The hotel is very close to the Grand Canal and St. Lucia station. There is plenty of space in the hotel rooms. The hotel rooms were always immaculately clean. The beds are lovely here. The air-conditioning functions were really appreciated in the summer. The food was a bit rich. The food was reasonably priced. This is a nice quiet hotel. The hotel has free wireless. The hotel will even provide one of their laptops to borrow to use the wireless.,The hotel is very impressive to stay in. The hotel is highly recommended. The hotel offers a lot of charm for its guests. This hotel is near the train station. This hotel is near one of the main vaporetti. You can prefer a boat to reach the hotel. It is located in a monastery. The monastery is old. All rooms are of a good size. The family rooms are especially spacious. There are good working amenities in each room. The rooms have been cleaned to a high standard. It's highly recommended to eat the rich breakfast. The rich breakfast can be eaten in the very charming garden. The best time to eat the breakfast is in the mornings. The hotel does have issues with flooding. There are boots available for guests to borrow if needed. Free Wi-Fi is available at this hotel. This is beneficial to many.,0.39002338
ref,train,3,"If you're looking for a decent clean hotel, then this is the right one for you. It provides a pleasant and unforgettable experience. This is a nice location. You can even see the Colosseum from the hotel. The Colosseum is less than a ten minute walk away. The rooms in the hotel are nicely decorated. Some may find the bed small. The day staff spoke English. The hotel has a continental buffet breakfast. Good cappuccino is available on the roof terrace. The breakfast is tasty. The showers in the hotel bathrooms are small.",The Apollo hotel is worth staying at. You should stay at the Apollo hotel each time you are in Rome. The hotel is situated in close proximity to the Colosseum (around seven minutes away). The hotel is around fifteen minutes walk to the Trevi Fountain. There are a lot of restaurants. They are close by. The hotel is in a good location. The location allows guests to take advantage of the tram system. The room itself is of a good size with decent decoration. The shower cubicle is on the small size. The bed is on the small size. Most of the staff do speak English. They were able to explain all of the functions of the hotel. The food served here is really good. The food served here is tasty. There is a really nice coffee machine. The coffee machine adds to the stay. The shower cubicle was really small. You can hardly turn around in there.,The hotel is highly recommended. The hotel provides a pleasant experience. The hotel is located in Rome. It's rated a three star hotel. It's spacious. It's clean. It has all the amenities needed for one's stay. This hotel is only a 7-minute walk to the Colosseum. The Colosseum is always within view. There is a wide variety of restaurants. Guests in this hotel will have either an apartment-style room away from the main hotel. Guests in this hotel will have a large room with a big bathroom in the hotel directly. The beds may be small. There may be holes in the sheets. Not all staff can speak English. The majority of staff can speak English. They speak English clearly. The hotel offers a very nice breakfast at their rooftop terrace dining room. There are grocery shops and restaurants nearby if you prefer something else.,0.33509722
ref,train,4,This is a great condo. The condo was comfortable. The condo was convenient. Staying in the condo was much nicer than staying in a hotel. It would be a shame. Not coming back again. The location of the hotel is perfectly situated on the lake. There is the option to rent boats down at Indian Point if needed. Fantastic views. The staff at this hotel were really helpful. The staff at this hotel were super friendly and nice. The units face the lake. The units have large covered patios. You can enjoy your coffee on the patios. The only complaint is that the people in the room above were up all night long. The only downside to this hotel is the noise from the people in the room above.,"The hotel had an antiquated, rustic look. I would definitely stay there again. The location is superb. It's right on the lake. It's a bit of a drive away if someone wants to go downtown. The roads are decent around this location. The 2 bed condos are big. The 2 bed condos offer a relaxing experience away from the Strip. Some of the beds squeak. The staff at the hotel were very friendly. The staff at the hotel were very helpful. Coffee wasn't always available at the hotel. When it was available, it was adequate. One complaint about the hotel is that there were people on the upper floors. They were partying and made noise all night.",This condo is better than staying in a hotel. It has a nice rustic look. It is nestled in the trees. It is comfortable. It is convenient. The condo is at a great location on the lake. You can rent a boat. It does require a drive if you want to go into town. The rooms here are very comfortable to stay in. The walls must be quite thin. It's easy to hear noises from other rooms close by. The staff were friendly. The staff were helpful. Large patios are available. They offer an enjoyable spot to drink your coffee. It was noisy. The noise was due to the other guests.,0.36555848
ref,train,5,"The room featured WiFi. The room featured Apple TV, which was a great touch. The shower was excellent. Additionally (implies that there is something else being discussed, but it is not mentioned in this sentence) The pillows were pretty full. There was no refrigerator in the room. The staff at the hotel were polite. The staff at the hotel were accommodating. The sales manager was contacted. The sales manager was efficient in response. The sales manager was helpful with suggestions. There are great food options around the hotel. The breakfast in the connected restaurant was really great. The second floor of the hotel was recently refurbished. The second floor of the hotel is quiet.","The rooms of the hotel are modern. The rooms of the hotel are well kept. There is free WiFi in the room. If you pay a little extra, you can get a business room. The business room comes with Apple TV. The business room comes with a paper in the morning. One thing to mention is that the pillows were a bit too full. All members of staff were really helpful. The Sales Manager was friendly and performed their job to a high standard. Housekeeping was friendly and performed their job to a high standard. The hotel has an adjoining restaurant. The adjoining restaurant is called Over Easy. Over Easy serves great food. The hotel has recently been newly renovated. There were no sound disturbances on the second floor as a result.","The rooms are generally very nice. The higher end suites offer a variety of luxuries. Each room has modern styling and decor. The shower in particular is very good. It provides free Wi-Fi in all rooms of the hotel. Unlike some other hotels, it provides free Wi-Fi in all rooms of the hotel. Not only this, it provides free Wi-Fi in all rooms of the hotel. The sales manager at this hotel was very polite and prompt in responding via email when questions were posed. The rest of the staff were all very helpful and nice. Breakfast at the hotel was great. There is an assortment of restaurants in the area for other options and variety.",0.3081877
ref,train,6,"The hotel is a unique place to stay. Overall, the hotel is a unique place to stay. The location is pretty good. The location doesn't have great access to a subway line. There's mainstream shopping close-by. The theatre quarters are close-by. This adds to how good the location is. The shower was in the room. The shower was very modern. Most of the staff were friendly. The staff were friendly to guests. This hotel has a small restaurant. The restaurant provides superb food. The restaurant very proudly uses local and organic produce. The hotel has an archaic elevator. The archaic elevator is a novelty.","This hotel is a unique space for musicians and artists to hang out and perform. Some may find that a detriment to their stay. The hotel is ideally situated for socialising in Queen St West. The hotel is ideally situated for the theatre district. The hotel is ideally situated for shopping areas. The hotel has great music available. The hotel has great food available. The rooms are quite unique but a little disappointing. The shower is like a horizontal MRI machine. However, the beds are great. The reception staff were unfriendly. Most of the hotel staff were very nice. The hotel has great food. There is a small restaurant. There is a fry bar that promotes local organic produce. There is lots of variety. This is a great escape. This escape is even in the city. The elevator was very old. The elevator was crazily fun.","The Gladstone Hotel Toronto is located in an old building. It is geared towards musicians and artists. It allows for foodies and families to indulge in performing or showing off their talent too. The location of the hotel isn't the most convenient in regards to the subway. The hotel is close enough to some amenities. The hotel is close enough to mainstream shopping. The rooms are pleasant. The design is unique and fun. The beds are reasonable. There is the option to upgrade if guests would like to do so. The staff are mostly really nice and cool. Upon arrival, the staff at that time were frosty. There is a small restaurant inside the hotel. You can get great food from the restaurant. The Gladstone has a vintage elevator. The vintage elevator dates back to the turn of the 20th century.",0.3075581
ref,train,7,Some would recommend the hotel to others. Some may not recommend the hotel to others. The hotel is ideally situated for transportation routes like the St. Charles line. The hotel is in walking distance of the Garden District. The hotel is a bit further to the French Quarter. The hotel has spacious rooms. The rooms are equipped with a kitchen. The rooms are very clean. The bathrooms are rather small. The shower was excellent. The staff at the hotel were incredibly helpful. The welcoming porters were particularly helpful. There is lots of great tasting food available. The food is around this hotel. The hotel provides wristbands for entry into the premises. The wristbands are a pleasing security feature.,"This is an okay hotel. The hotel is located within the amazing city. The hotel is suitable if you are visiting. The location is absolutely perfect. There are fine-dining options nearby. There is great shopping nearby. There are good transportation links available. You may prefer to use them. The room was large. The bathroom was slightly smaller. The bathroom featured a great shower. There were great amenities here. There is a small kitchen attached. The small kitchen includes a refrigerator, stove, coffee pot, and others. The staff make sure you have everything. The staff go out of their way to be helpful. The staff treat you like royalty every step of the way. They are nice. There is an added level of security with this hotel. You need hotel-supplied wristbands to enter the hotel building.",If you can get a room which isn't overbooked. This is a great place to base yourself to explore this amazing place. The location is excellent. It is central to many of the major attractions in this area. You can simply walk to get to many places. It is a great base to start at. You can use it before going to explore what else there is on offer in the area. Rooms are very spacious. All amenities that are needed for a good night's stay are included. The rooms are slightly outdated. The rooms still look reasonably modern. The rooms are maintained to a good standard. The staff at this hotel are extremely friendly and helpful. The staff are very attentive to the needs of their guests. The staff go above and beyond to make guests feel welcome. Hotel security requires seeing wristbands. The wristbands are provided to guests. The wristbands are required to enter the building.,0.3010162
ref,train,8,"This hotel makes for a pleasant stay. This hotel makes for a delightful stay. You wouldn't want to stay anywhere else. You are returning to Venice. The hotel is perfectly situated to get to great restaurants. It's close to water-ferry stations. The room in the hotel had a spacious, newly decorated bathroom. The room in the hotel was quiet in general. The rooms are decorated. The decoration shows respect for history. The breakfast was a little bit basic. It was still a good start to the day. There were continental-style yogurts and cereals, etc. The hotel is great. The hotel is value for money.","The Locanda Sant'Agostin is the perfect hotel venue for a stay in Venice. It is highly recommended. The hotel is situated in the centre of Venice. The hotel is away from all of the usual tourist traps. The rooms are really quiet. The rooms are somewhat cold. There was old-world charm to the room's decor. The bathrooms were modern. The bathrooms had clearly been recently upgraded. The hotel provided a basic Continental breakfast. The breakfast included yoghurts, coffee, cereals and pastries.","The Locanda Sant'Agostin is a hotel. The hotel is very nice and pleasant. The location is amazing! The location is right at the heart of Venice. The situation is quiet. It is within walking distance to all of Venice. It is away from the usual tourist areas. The rooms were brilliant. (There is only one component in this sentence.) The hotel is decorated in a charming old-world way. The hotel is spacious, quiet, and comfortable. The hotel offers a basic continental style breakfast.",0.35133588
ref,train,9,"This is a decent place to stay. It will leave you feeling happy overall. Initially, there was a bit of a rough start here at the hotel. The hotel is still nice. There is some peace and quiet at this hotel. It is quite close to the action. There are restaurants nearby. There is shopping nearby. The room was clean. The room had adequate disabled access. It may take a while to get access to the room. The staff here are okay. The staff here are mostly very helpful. They enforce valet parking. Valet parking is a little offputting. Dinner at this hotel was really good. Dinner at this hotel was pleasing. There are other food options nearby. There is a restaurant that serves Italian food. There was a small outdoor patio. The outdoor patio overlooked the pool and other patios. The noise level was quite high due to the patio's location. There are valet services available. There are parking services available.",Staying at the hotel is generally a good experience. It can be noisy. Its cleanliness needs improving. The hotel is situated close to the beach. The hotel is on the far side of Waikiki. The hotel is a little quieter than the centre. The first room was unacceptable. An upgrade was received. The King sized room was okay but nothing special. The room was clean. The concierge at the hotel was helpful. The concierge arranged transportation to Pearl Harbor. The hotel has restaurants. The food available at the restaurants was good. The hotel had valet parking. The valet parking was expensive. The valet parking was enforced. There was a small patio outside. The patio overlooked the pool.,The hotel is a very nice place. The hotel is clean. The hotel is perfect for germaphobes. It's perfect for honeymooners. There are tour buses available if you'd like. You can simply visit the onsite dining and hospitality features. It has two restaurants on offer. It has a sports bar. There is little to no parking available. The room offered partial views of the ocean. The room was okay. It was clean. It was small. The handicap access was good. It was comfortable. The bell desk were helpful. They arranged transport. The food served in the restaurant is lovely. There are a variety of other options available in close proximity to the hotel. Parking at the hotel could have been clearer. It was implied that valet parking was enforced. Self-parking was available. Both options were expensive.,0.29597864
