summ_type,split,example_id,summ_a,summ_b,summ_comm,nli_contrast_neut_score
ref,train,0,"This is an all suite hotel. The hotel is flawless. Around the holidays season, the hotel was well decorated for X-mas. There were lovely Palm trees and Christmas lights. This hotel is so close to the beach. This hotel is perfectly located for peace and quiet. The airport and Duval street are only a short shuttle away. Downtown is quite far away. The rooms are modern. The rooms are of great size. There is a lot of storage space. The beds are comfortable. The bathroom is pretty large. There is a nice vanity area. The staff were willing to help. They were willing to help with a last minute late checkout request. The restaurant provides great food. The restaurant closes too early for us. The hotel has bikes to rent. Parking close-by can be very pricey. The cost is per day. The elevators do not feel safe.",It was overpriced at this hotel. The cleaning standards were only okay. This hotel isn't in a great location. It is outside of the old town. Some good attractions are located in the old town. It is somewhat nice to be away from the main strip. It could have been closer to the main attractions. Some of the staff were rude. Some of the staff were unhelpful. You can eat your breakfast at the outside restaurant when staying at this hotel. Eating at the outside restaurant is really enjoyable. This is a great stay. You can ask for a reduced rate. The reduced rate is available for Florida residents. The pool is really worth checking out. The hot tub is also worth checking out.,The hotel is recommended. The staff there were friendly and helpful to guests.,0.375
ref,train,1,The hotel has an enjoyable ambience. The hotel is great value for money. This location is great for accessing the great fun and action close-by. There is hustle-and-bustle noise from the street the hotel is located on. The rustic rooms here are a little small. The rustic rooms here are really comfortable and clean. The beds are big. There was a thatched roof to the room. The thatched roof provided an airy feel. The thatched roof was not soundproof. The hotel provides great breakfast. The breakfast can be eaten above the garden. The breakfast can be taken away. The hotel does not provide private parking.,"The hotel is a highlight of the Yucatan province. The hotel is different from commercial areas such as Cancun. The food at the hotel is highly recommended. In general, the hotel is worth repeat visits. The location is absolutely perfect. It is really close to shopping and restaurant options. The rooms are basic. The showers work well. The rooms are purposefully lacking in mod cons. There are no TVs, radios, or phones in the rooms. The towels provided in the room are sculpted into animal shapes. This is a unique feature of the hotel. There were two big-sized pools that were perfect. There were some ping-pong tables. The internet accessibility is a bit of a let-down.",The staff at the hotel were friendly and helpful. It is very close to the beach.,0.3548387096774194
ref,train,2,This is a really great place to stay. It's really quiet. The station is really close to the hotel. The station is located in an old monastery. The monastery is set in beautiful gardens. The rooms in the hotel are spacious. The rooms in the hotel are clean. The rooms in the hotel have air conditioning. The food is available at the hotel. The price of the food is reasonable. The hotel lobby provides free wireless internet. You can borrow one of their laptops if needed.,This hotel is great value. This hotel definitely adds to make your trip really special and enjoyable. There were great places within walking distance at this hotel. The hotel has well-equipped and nicely decorated rooms. The rooms with views are rather expensive. The breakfast food items were really varied and very tasty. I couldn't recommend it enough. This hotel could be improved if there was a lagoon view.,The staff were at the hotel. The staff were very helpful.,0.45454545454545453
ref,train,3,"If you're looking for a decent clean hotel, then this is the right one for you. It provides a pleasant and unforgettable experience. This is a nice location. You can see the Colosseum from the hotel. The Colosseum is less than a ten-minute walk away. The rooms in the hotel are nicely decorated. Some may find the bed small. The day staff spoke English. The hotel has a continental buffet breakfast. Good cappuccino is available on the roof terrace. The breakfast is tasty. The showers in the hotel bathrooms are small.",The stay at the hotel was comfortable. The stay at the hotel felt like a home away from home. Definitely recommended. The hotel is in a good location for a short walk to the main train terminus. There is a tube line going to all the historic sites of Rome. The hotel is closely located to a supermarket. The rooms in the hotel are clean. The rooms in the hotel have a view. The breakfast at the hotel was really good. The breakfast had a great range from pastries to scrambled eggs. The food/dish is very tasty. ,The hotel is ideally located. The hotel is good for local public transportation. The staff at the hotel were very helpful.,0.46153846153846156
ref,train,4,"This is a great condo. The condo was comfortable. The condo was convenient. Staying in the condo was much nicer than staying in a hotel. It would be a shame not to come back again. The location of the hotel is perfectly situated on the lake. There is the option to rent boats down at Indian Point if needed. The hotel offers fantastic views of the city. From the top of the mountain, you can see fantastic views of the surrounding landscape. The balcony provides fantastic views of the ocean. The staff at this hotel were really helpful. The staff at this hotel were super friendly and nice. The units face the lake. The units have large covered patios. You can enjoy your coffee on the patios. The only complaint is that the people in the room above were up all night long. The only downside to this hotel is the noise from the room above.","This was an okay stay here. There is some really lovely scenery around the place. The spa facilities at the hotel were top-class. It made for a lovely atmosphere. The room was quite noisy. The room didn't even have a mini-fridge inside. The pull-out couch was actually really good quality. Sleep was great on it. Most of the staff were great here. The staff provided such a memorable service. The only let-down was the doormen and front-desk lady were sometimes rude. Overall, the staff were great. The food was a bit expensive. The cafe restaurant definitely has unbeatable food. The hotel had a movie theatre. The movie theatre played kids movies. There was a lovely lake. There was an indoor atrium.",The hotel was comfortable to stay at.,0.19444444444444445
ref,train,5,"The room featured WiFi. The room featured Apple TV. The addition of Apple TV was a great touch. The shower was excellent. Additionally (implies that this is an additional point to something previously mentioned, but we don't have that context) The pillows were pretty full. There was no refrigerator in the room. The staff at the hotel were polite. The staff at the hotel were accommodating. The sales manager that was contacted was efficient in response. The sales manager that was contacted was helpful with suggestions. There are great food options around the hotel. The breakfast in the connected restaurant was really great. The second floor of the hotel was recently refurbished. The second floor of the hotel is quiet.","This hotel has served guests. The guests have stayed on repeated occasions. The room is very well-equipped and clean. The shower did often leak onto the bathroom floor. The breakfast in the hotel was a little expensive. There was no bottled water available in the room. The parking provided at the hotel is really expensive. In other aspects, the hotel did provide good value.",The hotel is in walking distance to some of the sights. It is definitely recommended.,0.16666666666666666
ref,train,6,"The hotel is a unique place to stay. Overall, the hotel is a unique place to stay. The location is pretty good. It doesn't have great access to a subway line. There's mainstream shopping close-by. The theatre quarters are close-by. The location is good because of these nearby attractions. The shower was in the room. The shower was very modern. Most of the staff were friendly. The staff were friendly to guests. This hotel has a small restaurant. The restaurant provides superb food. The restaurant very proudly uses local and organic produce. The hotel has an archaic elevator. The archaic elevator is a novelty.",The hotel is quite busy. It was really quiet. The location of this hotel is perfectly situated for exploring downtown. The location of this hotel is good for a medium-length walk to other attractions and sights. The hotel rooms were spacious. The hotel rooms were clean. The bathrooms were large. The room had really good bedding. The staff at this hotel seemed a little bit uninterested. The housekeeping staff did a really good job cleaning. The hotel had a good choice of food. The breakfast was lovely. The curry lunches were good. The hotel has an ice machine available for guests. The ice machine is located in the room corridors.,This hotel provides a stay. The stay is enjoyable overall. It is recommended.,0.08823529411764706
ref,train,7,Some would recommend the hotel to others. Some may not recommend the hotel to others. The hotel is ideally situated for transportation routes like the St. Charles line. The hotel is in walking distance of the Garden District. The hotel is a bit further to the French Quarter. The hotel has spacious rooms. The spacious rooms are equipped with a kitchen. The rooms are very clean. The bathrooms are rather small. The shower was excellent. The staff at the hotel were incredibly helpful. The welcoming porters were particularly helpful. There is lots of food available to eat around this hotel. The food is great tasting. The hotel provides wristbands for entry into the premises. This is a pleasing security feature.,"The hotel and the surrounding area are noisy. It is to be expected. The location is unbeatable here. There is some noise. Having the best location is worth paying a small price. The room was small. The room wasn't too well maintained. Upon arrival, the room wasn't even made-up. The person requested a quiet room. The room provided was really noisy. The staff seemed unprofessional. The staff seemed unhelpful. The hotel provided breakfast. The breakfast was very good. The parking situation is quite difficult. The pricing is really high per day. There was no hot water. The water was just tepid. Additionally, these two factors were present.",This hotel was great.,0.19444444444444445
ref,train,8,"This hotel makes for a pleasant stay. This hotel makes for a delightful stay. You wouldn't want to stay anywhere else. You are returning to Venice. The hotel is perfectly situated to get to great restaurants. It's close to water-ferry stations. The room in the hotel had a spacious, newly decorated bathroom. The room in the hotel was quiet in general. The rooms are decorated. The decoration shows respect for history. The breakfast was a little bit basic. It was still a good start to the day. There were continental-style yoghurts and cereals, etc. The hotel is great. The hotel is a good value for money.",The hotel is well-placed in a quiet spot. You can access public transportation only a few minutes' walk away. You can go further afield if desired. The size of the rooms in the hotel differ. All rooms have a canal view. The breakfast food here was plentiful. You can choose to eat your supper overlooking the canal. Eating supper overlooking the canal provides a magical experience. The hotel looks exactly as advertised on their website. The checking out process was very efficient.,The staff at the hotel are friendly. The hotel is recommended.,0.6666666666666666
ref,train,9,"This is a decent place to stay. It will leave you feeling happy overall. Initially, there was a bit of a rough start at the hotel. The hotel is still nice. There is some peace and quiet at this hotel. It is quite close to the action. There are restaurants nearby. There is shopping nearby. The room was clean. The room had adequate disabled access. It may take a while to get access to the room. The staff here are okay. The staff here are mostly very helpful. They enforce valet parking. Valet parking is a little offputting. Dinner at this hotel was really good. Dinner at this hotel was pleasing. There are also other food options nearby. There is a restaurant that serves Italian food. There was a small outdoor patio. The patio overlooked the pool and other patios. It was quite noisy. There are valet services available. There are parking services available.",The hotel has a deal. You get the fourth night free. You have to stay three nights. The hotel is in close proximity to a zoo. The hotel is in close proximity to an aquarium. The hotel is in close proximity to other tourist sights. The hotel room overlooked the city. The hotel room overlooked Diamond Head. The hotel room overlooked the zoo. The room and bathroom were an adequate size. The room and bathroom could generally do with a deep clean. The staff at the hotel were friendly and knowledgeable for the most part. There were some staff members that were not as helpful. There were free buffets every single day at this hotel. The free buffets have to be taken advantage of. The tiles around the hotel's swimming pool are very slippery. Caution is advised if using the facility.,The location is great. The location is near the beach.,0.4418604651162791
