summ_type,split,example_id,summ_a,summ_a_neg,nli_contrast_agg_score
ref,train,0,"This is an all suite hotel. The hotel is flawless. Around the holidays season, the hotel was well decorated for X-mas. There were lovely Palm trees and Christmas lights. This hotel is so close to the beach. This hotel is perfectly located for peace and quiet. The airport and Duval street are only a short shuttle away. Downtown is quite far away. The rooms are modern. The rooms are of great size. There is a lot of storage space. The beds are comfortable. The bathroom is pretty large. There is a nice vanity area. The staff were willing to help. They were willing to help with a last minute late checkout request. The restaurant provides great food. The restaurant closes too early for us. The hotel has bikes to rent. Parking close-by can be very pricey. The cost is per day. The elevators do not feel safe.","This hotel has no suites. The hotel is flawed. Around the holiday season, the hotel is not decorated for X-mas. There were no Palm trees or Christmas lights. This hotel is so far from the beach. This hotel is not perfectly located for peace and quiet. The airport and Duval street are very far away. Downtown is quite closeby. The rooms are outdated. The rooms are of little size. There is not a lot of storage space. The beds are uncomfortable. The bathroom is pretty small. There is no vanity area. The staff were unwilling to help. They did not agree to a last minute checkout request. The restaurant provides awful food. The restaurant stays open late. The hotel has no bikes to rent. Parking close-by is very light on the pocket. The cost is not per day. The elevators do feel safe.",1.0
ref,train,1,The hotel has an enjoyable ambience. The hotel is great value for money. This location is great for accessing the great fun and action close-by. There is hustle-and-bustle noise from the street the hotel is located on. The rustic rooms here are a little small. The rustic rooms here are really comfortable and clean. The beds are big. There was a thatched roof to the room. The thatched roof provided an airy feel. The thatched roof was not soundproof. The hotel provides great breakfast. The breakfast can be eaten above the garden. The breakfast can be taken away. The hotel does not provide private parking.,The hotel has a miserable ambience. The hotel is bad value for money. This location is bad for accessing the great fun and action close-by. There is no noise from the street the hotel is located on. The rustic rooms here are too large. The rustic rooms here are really uncomfortable and dirty. The beds are small. There was no thatched roof to the room. The thatched roof provided a stuffy feel. The thatched roof was soundproof. The hotel provides terrible breakfast. The breakfast can not be eaten above the garden. The breakfast can not  be taken away. The hotel does provide private parking.,1.0
ref,train,2,This is a really great place to stay. It's really quiet. The station is really close to the hotel. The station is located in an old monastery. The monastery is set in beautiful gardens. The rooms in the hotel are spacious. The rooms in the hotel are clean. The rooms in the hotel have air conditioning. The food is available at the hotel. The price of the food is reasonable. The hotel lobby provides free wireless internet. You can borrow one of their laptops if needed.,This is a really bad place to stay. It's really loud. The station is really far from the hotel. The station is not located in an old monastery. The monastery does not have any beautiful gardens. The rooms in the hotel are cramped. The rooms in the hotel are dirty. The rooms in the hotel have no air conditioning. There is no food available at the hotel. The price of the food is unreasonable. The hotel lobby provides no free wireless internet. You can not borrow one of their laptops if needed.,1.0
ref,train,3,"If you're looking for a decent clean hotel, then this is the right one for you. It provides a pleasant and unforgettable experience. This is a nice location. You can see the Colosseum from the hotel. The Colosseum is less than a ten-minute walk away. The rooms in the hotel are nicely decorated. Some may find the bed small. The day staff spoke English. The hotel has a continental buffet breakfast. Good cappuccino is available on the roof terrace. The breakfast is tasty. The showers in the hotel bathrooms are small.","If you're looking for a decent clean hotel, then this is not the right one for you. It provides a bad and forgettable experience. This is a terrible location. You can not see the Colosseum from the hotel. The Colosseum is too far away to walk to. The rooms in the hotel are poorly decorated. Some may find the bed big. The day staff did not speak English. The hotel has no continental buffet breakfast. Bad cappuccino is available on the roof terrace. The breakfast is not tasty. The showers in the hotel bathrooms are large.",1.0
ref,train,4,"This is a great condo. The condo was comfortable. The condo was convenient. Staying in the condo was much nicer than staying in a hotel. It would be a shame not to come back again. The location of the hotel is perfectly situated on the lake. There is the option to rent boats down at Indian Point if needed. The hotel offers fantastic views of the city. From the top of the mountain, you can see fantastic views of the surrounding landscape. The balcony provides fantastic views of the ocean. The staff at this hotel were really helpful. The staff at this hotel were super friendly and nice. The units face the lake. The units have large covered patios. You can enjoy your coffee on the patios. The only complaint is that the people in the room above were up all night long. The only downside to this hotel is the noise from the room above.","This is a terrible condo. The condo was uncomfortable. The condo was inconvenient. Staying in the condo was much worse than staying in a hotel. I would not come back to this hotel. The location of the hotel is terribly situated on the lake. There is no option to rent boats down at Indian point. The hotel offers horrible views of the city. From the top of the mountain, you can see horrible views of the surrounding landscape. The balcony provides horrible views of the ocean. The staff at this hotel were really unhelpful. The staff at this hotel were unfriendly and not nice. The units do not face the lake. The units have small covered patios. You can not enjoy your coffee on the patios. The only complaint is that the people in the room above were not up all night long. The only upside to this hotel is the noise from the room above.",1.0
ref,train,5,"The room featured WiFi. The room featured Apple TV. The addition of Apple TV was a great touch. The shower was excellent. Additionally (implies that this is an additional point to something previously mentioned, but we don't have that context) The pillows were pretty full. There was no refrigerator in the room. The staff at the hotel were polite. The staff at the hotel were accommodating. The sales manager that was contacted was efficient in response. The sales manager that was contacted was helpful with suggestions. There are great food options around the hotel. The breakfast in the connected restaurant was really great. The second floor of the hotel was recently refurbished. The second floor of the hotel is quiet.",The room featured no WiFi. The room featured no Apple TV. The no addition of Apple TV was a terrible touch. The shower was terrible. Exclusively (implies that this is a point that stands alone and needs no supporting context) The pillows were flat. There was a refrigerator in the room. The staff at the hotel were not polite. The staff at the hotel were not accommodating. The sales manager that was contacted was not efficient in response. The sales manager that was contacted was unhelpful with suggestions. There are bad food options around the hotel. The breakfast in the connected restaurant was really bad. The second floor of the hotel was run-down and needs to be refurbished. The second floor of the hotel is noisy.,0.5714285714285714
ref,train,6,"The hotel is a unique place to stay. Overall, the hotel is a unique place to stay. The location is pretty good. It doesn't have great access to a subway line. There's mainstream shopping close-by. The theatre quarters are close-by. The location is good because of these nearby attractions. The shower was in the room. The shower was very modern. Most of the staff were friendly. The staff were friendly to guests. This hotel has a small restaurant. The restaurant provides superb food. The restaurant very proudly uses local and organic produce. The hotel has an archaic elevator. The archaic elevator is a novelty.","The hotel is a boring place to stay. Overall, the hotel is like any other place to stay at. The location is pretty bad. It does have great access to a subway line. There's no mainstream shopping close-by. The theatre quarters are not close-by. The location is bad because of these far attractions. The shower was not in the room. The shower was very old. Most of the staff were unfriendly. The staff were unfriendly to guests. This hotel has a big restaurant. The restaurant provides horrible food. The restaurant very shamefully uses exotic and non-organic produce. The hotel has a modern elevator. The archaic elevator is trite.",1.0
ref,train,7,Some would recommend the hotel to others. Some may not recommend the hotel to others. The hotel is ideally situated for transportation routes like the St. Charles line. The hotel is in walking distance of the Garden District. The hotel is a bit further to the French Quarter. The hotel has spacious rooms. The spacious rooms are equipped with a kitchen. The rooms are very clean. The bathrooms are rather small. The shower was excellent. The staff at the hotel were incredibly helpful. The welcoming porters were particularly helpful. There is lots of food available to eat around this hotel. The food is great tasting. The hotel provides wristbands for entry into the premises. This is a pleasing security feature.,Some would not recommend the hotel to others. Some may recommend the hotel to others. The hotel is not close to any transportation. The hotel is very far from the Garden district. The hotel is right next to the French Quarter. The hotel has cramped rooms. The spacious rooms are not equipped with a kitchen. The rooms are very dirty. The bathrooms are rather big. The shower was awful. The staff at the hotel were horribly unhelpful. The welcoming porters were particularly unhelpful. There is not lots of food available to eat around this hotel. The food is gross tasting. The hotel does not provide wristbands for entry into the premises. This is not a pleasing security feature.,0.875
ref,train,8,"This hotel makes for a pleasant stay. This hotel makes for a delightful stay. You wouldn't want to stay anywhere else. You are returning to Venice. The hotel is perfectly situated to get to great restaurants. It's close to water-ferry stations. The room in the hotel had a spacious, newly decorated bathroom. The room in the hotel was quiet in general. The rooms are decorated. The decoration shows respect for history. The breakfast was a little bit basic. It was still a good start to the day. There were continental-style yoghurts and cereals, etc. The hotel is great. The hotel is a good value for money.","This hotel makes for a bad stay. This hotel makes for a terrible stay. You would want to stay anywhere else. You are not returning to Venice. The hotel is terribly situated to get to great restaurants. It's far to water-ferry stations. The room in the hotel had a cramped, rather plain bathroom. The room in the hotel was noisy in general. The rooms are undecorated. The decoration disrespects history. The breakfast was complex. It was still a bad start to the day. There were no continental-style yoghurts and cereals, etc. The hotel is bad. The hotel is a bad value for money.",0.7142857142857143
ref,train,9,"This is a decent place to stay. It will leave you feeling happy overall. Initially, there was a bit of a rough start at the hotel. The hotel is still nice. There is some peace and quiet at this hotel. It is quite close to the action. There are restaurants nearby. There is shopping nearby. The room was clean. The room had adequate disabled access. It may take a while to get access to the room. The staff here are okay. The staff here are mostly very helpful. They enforce valet parking. Valet parking is a little offputting. Dinner at this hotel was really good. Dinner at this hotel was pleasing. There are also other food options nearby. There is a restaurant that serves Italian food. There was a small outdoor patio. The patio overlooked the pool and other patios. It was quite noisy. There are valet services available. There are parking services available.","This is a terrible place to stay. It will leave you feeling miserable overall. Initially, there was a bit of a good start at the hotel. The hotel is still not nice. There is some noise at this hotel. It is quite far to the action. There are restaurants far away. There is no shopping nearby. The room was dirty. The room had no adequate disabled access. It may take be quick to get access to the room. The staff here are  not okay. The staff here are mostly very unhelpful. They enforce no valet parking. Valet parking is a little pleasant. Dinner at this hotel was really bad. Dinner at this hotel was not pleasing. There are also other food options far away. There is no restaurant that serves Italian food. There was a big outdoor patio. The patio did not overlooked the pool and other patios. It was quite quiet. There are no valet services available. There are no parking services available.",0.9
