summ_type,split,example_id,summ_a,summ_b,nli_contrast_cont_score
ref,train,0,"This is an all suite hotel. The hotel is flawless. Around the holidays season, the hotel was well decorated for X-mas. There were lovely Palm trees and Christmas lights. This hotel is so close to the beach. This hotel is perfectly located for peace and quiet. The airport and Duval street are only a short shuttle away. Downtown is quite far away. The rooms are modern. The rooms are of great size. There is a lot of storage space. The beds are comfortable. The bathroom is pretty large. There is a nice vanity area. The staff were willing to help. They were willing to help with a last minute late checkout request. The restaurant provides great food. The restaurant closes too early for us. The hotel has bikes to rent. Parking close-by can be very pricey. The cost is per day. The elevators do not feel safe.","This hotel was too expensive. The level of cleanliness it provided was not up to par. This hotel isn't in a desirable spot. The hotel lies beyond the historic city center. Many of the popular sights are located in the historic city center. It was pleasant to be away from the busy city center. It would have been preferable to be closer to the main attractions. Some of the personnel were impolite. Some of the personnel were uncooperative. When staying at this hotel, you can enjoy the experience of eating your breakfast. The breakfast is served at the outdoor restaurant. If you are a Florida resident. You can inquire about a discounted rate. The discounted rate is for this wonderful stay. It is definitely worth taking a look at the pool. It is definitely worth taking a look at the hot tub.",0.5789473684210527
ref,train,1,The hotel has an enjoyable ambience. The hotel is great value for money. This location is great for accessing the great fun and action close-by. There is hustle-and-bustle noise from the street the hotel is located on. The rustic rooms here are a little small. The rustic rooms here are really comfortable and clean. The beds are big. There was a thatched roof to the room. The thatched roof provided an airy feel. The thatched roof was not soundproof. The hotel provides great breakfast. The breakfast can be eaten above the garden. The breakfast can be taken away. The hotel does not provide private parking.,"The hotel stands out in the Yucatan province. The hotel is distinct from more touristy places like Cancun. Many people have praised the food served at the hotel. The hotel is an ideal place to stay for multiple visits. The spot is ideal. It is in close proximity to stores and eateries. The accommodations are simple. The showers are functioning properly. The rooms have been deliberately designed without modern conveniences. The modern conveniences include televisions, radios, and telephones. The towels in the room are distinctively crafted. The towels are crafted into the form of animals. There were two large pools. There were a few ping-pong tables. The internet access is somewhat disappointing. Unfortunately.",0.7333333333333333
ref,train,2,This is a really great place to stay. It's really quiet. The station is really close to the hotel. The station is located in an old monastery. The monastery is set in beautiful gardens. The rooms in the hotel are spacious. The rooms in the hotel are clean. The rooms in the hotel have air conditioning. The food is available at the hotel. The price of the food is reasonable. The hotel lobby provides free wireless internet. You can borrow one of their laptops if needed.,This hotel is an excellent bargain. It will surely enhance your excursion. It will make it a memorable experience. This hotel had some fantastic spots. These spots were within walking distance. The hotel has well-equipped rooms. The hotel has nicely decorated rooms. The rooms with a view come with a higher price tag. The assortment of breakfast food was delicious. I would highly recommend it. The hotel would be even better if it had a view of a lagoon. That being said (this is a transitional phrase).,0.125
ref,train,3,"If you're looking for a decent clean hotel, then this is the right one for you. It provides a pleasant and unforgettable experience. This is a nice location. You can see the Colosseum from the hotel. The Colosseum is less than a ten-minute walk away. The rooms in the hotel are nicely decorated. Some may find the bed small. The day staff spoke English. The hotel has a continental buffet breakfast. Good cappuccino is available on the roof terrace. The breakfast is tasty. The showers in the hotel bathrooms are small.",The accommodation at the hotel was cozy. It felt like a second residence. I suggest it. The suggestion is highly recommended. The hotel is conveniently located near the main train station. The hotel is conveniently located near a subway line that goes to all the famous landmarks of Rome. The subway line makes it easy to get around on foot. The hotel is in close proximity to a grocery store. The rooms in the hotel are spotless. The rooms offer a scenic outlook. The morning meal provided by this hotel was exceptionally delicious. There is a selection of options from pastries to scrambled eggs. The flavor was delightful.,0.2
ref,train,4,"This is a great condo. The condo was comfortable. The condo was convenient. Staying in the condo was much nicer than staying in a hotel. It would be a shame not to come back again. The location of the hotel is perfectly situated on the lake. There is the option to rent boats down at Indian Point if needed. The hotel offers fantastic views of the city. From the top of the mountain, you can see fantastic views of the surrounding landscape. The balcony provides fantastic views of the ocean. The staff at this hotel were really helpful. The staff at this hotel were super friendly and nice. The units face the lake. The units have large covered patios. You can enjoy your coffee on the patios. The only complaint is that the people in the room above were up all night long. The only downside to this hotel is the noise from the room above.",This stay was alright. The views were absolutely stunning. The spa amenities at the hotel were of the highest quality. The spa amenities at the hotel created a pleasant atmosphere. The room was quite loud. The room lacked a mini-fridge. The pull-out sofa was surprisingly well-made. The pull-out sofa provided an excellent night's sleep. The majority of the employees at this location were incredible. They gave a truly unforgettable experience. The only negative aspect was that the doormen and front-desk attendant could be impolite at times. The rest of the staff were outstanding. The fare was a little pricey. The cafe's cuisine was undeniably excellent. The hotel had a movie theater. The movie theater showed films for children as well. The lake was beautiful. There was an interior courtyard.,0.6
ref,train,5,"The room featured WiFi. The room featured Apple TV. The addition of Apple TV was a great touch. The shower was excellent. Additionally (implies that this is an additional point to something previously mentioned, but we don't have that context) The pillows were pretty full. There was no refrigerator in the room. The staff at the hotel were polite. The staff at the hotel were accommodating. The sales manager that was contacted was efficient in response. The sales manager that was contacted was helpful with suggestions. There are great food options around the hotel. The breakfast in the connected restaurant was really great. The second floor of the hotel was recently refurbished. The second floor of the hotel is quiet.",This hotel has hosted guests. Some guests have returned multiple times. The room was fully stocked. The room was spotless. The shower had a tendency to drip onto the bathroom floor. The cost of the hotel's breakfast was slightly high. No bottled water was provided in the room. The parking at the hotel was quite costly. The hotel did offer good value in other areas.,0.30434782608695654
ref,train,6,"The hotel is a unique place to stay. Overall, the hotel is a unique place to stay. The location is pretty good. It doesn't have great access to a subway line. There's mainstream shopping close-by. The theatre quarters are close-by. The location is good because of these nearby attractions. The shower was in the room. The shower was very modern. Most of the staff were friendly. The staff were friendly to guests. This hotel has a small restaurant. The restaurant provides superb food. The restaurant very proudly uses local and organic produce. The hotel has an archaic elevator. The archaic elevator is a novelty.",The hotel has a bustling atmosphere. The hotel was surprisingly tranquil. This hotel is conveniently placed for venturing around downtown. The hotel is within a reasonable distance for a stroll to other points of interest. The hotel rooms were roomy. The hotel rooms were immaculate. The bathrooms were spacious. The bedding in the room was very comfortable. The personnel at this hotel seemed somewhat apathetic. The housekeeping crew did an outstanding job with the cleaning. The hotel provided a nice selection of food. The breakfast was delicious. The curry lunches were tasty. The hotel provides an ice machine for its guests. The ice machine is located in the hallways of the rooms.,0.4838709677419355
ref,train,7,Some would recommend the hotel to others. Some may not recommend the hotel to others. The hotel is ideally situated for transportation routes like the St. Charles line. The hotel is in walking distance of the Garden District. The hotel is a bit further to the French Quarter. The hotel has spacious rooms. The spacious rooms are equipped with a kitchen. The rooms are very clean. The bathrooms are rather small. The shower was excellent. The staff at the hotel were incredibly helpful. The welcoming porters were particularly helpful. There is lots of food available to eat around this hotel. The food is great tasting. The hotel provides wristbands for entry into the premises. This is a pleasing security feature.,The hotel and its vicinity are quite loud. It is not surprising. The spot is unbeatable. The location is perfect. The slight sound of background noise is a minor inconvenience. Being in the ideal spot is a benefit. The condition of the little room was not in great shape. The room had not been tidied up when we arrived. The guest asked for a peaceful room. The room given was quite loud. The personnel appeared to be uncooperative. The personnel appeared to be inefficient. The hotel served breakfast. The breakfast was extremely delicious. The cost of parking is rather exorbitant. The parking situation is challenging. There was no hot water available. Only lukewarm water was available. This was in addition to other issues.,0.7428571428571429
ref,train,8,"This hotel makes for a pleasant stay. This hotel makes for a delightful stay. You wouldn't want to stay anywhere else. You are returning to Venice. The hotel is perfectly situated to get to great restaurants. It's close to water-ferry stations. The room in the hotel had a spacious, newly decorated bathroom. The room in the hotel was quiet in general. The rooms are decorated. The decoration shows respect for history. The breakfast was a little bit basic. It was still a good start to the day. There were continental-style yoghurts and cereals, etc. The hotel is great. The hotel is a good value for money.",The hotel is situated in a peaceful area. The hotel is only a short walk away from public transportation. You can explore beyond the vicinity if you wish. The dimensions of the hotel rooms vary. All of the hotel rooms have a view of the canal. The breakfast selection was abundant. You could opt to have your dinner while admiring the canal. It creates a truly enchanting atmosphere. The hotel was exactly as depicted on their website. Checking out was a breeze.,0.28
ref,train,9,"This is a decent place to stay. It will leave you feeling happy overall. Initially, there was a bit of a rough start at the hotel. The hotel is still nice. There is some peace and quiet at this hotel. It is quite close to the action. There are restaurants nearby. There is shopping nearby. The room was clean. The room had adequate disabled access. It may take a while to get access to the room. The staff here are okay. The staff here are mostly very helpful. They enforce valet parking. Valet parking is a little offputting. Dinner at this hotel was really good. Dinner at this hotel was pleasing. There are also other food options nearby. There is a restaurant that serves Italian food. There was a small outdoor patio. The patio overlooked the pool and other patios. It was quite noisy. There are valet services available. There are parking services available.",If you stay at the hotel for three nights. The fourth night is complimentary. The hotel is located near a zoo and aquarium. The hotel is located near other popular attractions. The hotel room had a view of the cityscape. The hotel room had a view of Diamond Head. The hotel room had a view of the zoo. The room and bathroom were of a satisfactory size. They could use a thorough cleaning. Most of the personnel at the hotel were affable and well-informed. A few of the personnel at the hotel were not as accommodating. This hotel offered complimentary buffets every day. It would be a shame not to take advantage of this. The hotel has a swimming pool. The tiles around the pool are very slippery. You should be careful when using the pool.,0.4
