summ_type,split,example_id,summ_a,summ_b,summ_comm,nli_contrast_ent_score
ref,train,0,"

This hotel is ideal for those who want to get away from the hustle and bustle of life; it lies in close proximity to the beach and is set up perfectly for peace and quiet. Its suites boast modern decor, ample storage space, comfortable beds and large bathrooms with nice vanity areas. Not only that, the staff are accommodating and willing to help with last minute late checkout requests. The food in the restaurant is top-notch but unfortunately shuts down early. The hotel even has bikes available to rent, however, finding parking nearby may be costly. Lastly, the elevators leave much to be desired in terms of safety. Esthetically during the holidays, this all-suite hotel was decorated to perfection with Christmas lights and palm trees.","

This hotel was somewhat pricey and its cleaning standards were just passable. Unfortunately, it's not in a great spot because it's away from the old town - home to some of the better attractions. On the plus side, however, it's away from the hustle and bustle. The staff was not particularly friendly or helpful. Breakfast can be had at the outdoor restaurant, which can be quite nice, and if you are a Florida resident you may be able to get a discounted rate. The pool and hot tub are worth checking out. All-in-all, it's still a decent stay.","

It is suggested to stay at the hotel, as the staff there were",0.019177882550542917
ref,train,1,"

The hotel has a pleasant atmosphere and is reasonably priced, making it an ideal option if you're looking to get to the many activities and attractions located nearby. However, the street on which the building is situated can be quite noisy. The quaint rooms are cozy and tidy, but slightly limited in size, plus the beds are roomy. The room also has an open atmosphere thanks to its thatched roof, though this means that sound insulation is not present. Breakfast is available to eat in the garden or takeaway, however, the hotel does not have a parking facility.","

The Yucatan province is made even more special because of the hotel's presence in the area and its clear difference from the commercial ones like Cancun. Highly appraised food is served here and thereby becomes worth the repeated visits. The location is well-suited for those who prefer to shop and grab a bite nearby. Though the rooms in the hotel come with only basic amenities, their showers are in good functioning. As a nice touch, their towels are formed into animals shapes. Apart from the two well-sized pools, there are also some ping-pong tables. However, the internet connectivity is a bit of a let-down.","

The personnel at the inn were amiable and accommodating and it is in close proximity to",0.013597854923337968
ref,train,2,"

This place is really awesome and peaceful. The nearby train station is incredibly convenient and it is situated in a stunning former monastery with great landscaping. The chambers are big, neat, and come with air conditioning. The food offered by the hotel is reasonably priced. The lobby of the hotel offers WiFi free of charge and you can even get a loaner laptop if you need it.","

This hotel is an amazing bargain and truly boosts your vacation experience to the next level. There are many convenient attractions within walking distance. The chambers at the hotel are very well-equipped and attractively appointed, although a lot pricey. The breakfast options were plentiful and amazingly delicious, definitely worth recommending. Enhancing the hotel even further, a lagoon view may make all the difference.","

The personnel at the hotel provided great",0.04799193303499898
ref,train,3,"

If you want a top-notch spotless hotel, this is the one for you. It offers a nice, unforgettable experience. Its location is better than most, with a stunning view of the Colosseum, reachable in less than ten minutes by foot. The rooms are well decorated, though some may think the beds are undersized. The staff on duty speak English and the hotel provides a continental buffet breakfast with delicious cappuccino served on the rooftop terrace. The shower in the on-site bathrooms, however, are slightly diminutive.","

The stay at the hotel was pleasant and it was as if one were in their own home. Highly suggested. It is situated in a great area - just a brief stroll to the main rail station as well as a tube line that leads to Rome's renowned landmarks. Moreover, it is near to a grocery store. The rooms here at the hotel are neat and have a great view. Moreover, their breakfast offers a great range of options from pastries to scrambled eggs which was really delicious.","

The hotel is in a perfect spot for taking advantage of public transport and the staff were extremely accommodating.",0.036808405441964426
ref,train,4,"

It would be a disservice to not return to such an incredible condo; it is both comfortable and convenient and far surpasses the value of a hotel. The hotel's location on the lake is perfect and you are able to rent boats nearby at Indian Point. The views of the lake are breathtaking. In addition, the staff is immensely hospitable and helpful. The units that face the lake boast spacious patios that are great for early morning coffee. The only grievance is that there was noise keeping us up from the room above, but this issue is minor when compared to the stunning beauty of this hotel.","

This stay was mostly positive with its beautiful scenery and high-end spa facilities generating a pleasant atmosphere. The guestroom was excessive in noise and lacked a mini-fridge, but the pull-out couch proved to be of excellent quality, resulting in a good amount of rest. Nearly all of the staff members were exceptional in providing a memorable service - the only exception being the doormen and the person at the reception desk who could be somewhat impolite. Although the food was costly, the eatery had commendable dishes. Also, the hotel had a cinematic with films geared towards children. Lastly, there was a lake and an inner atrium that certainly added to the property’s charm.","

The hotel provided a pleasant stay.",0.06262411072202663
ref,train,5,"

This room had great amenities such as WiFi and Apple TV, as well as an amazing shower. The pillows were a bit too full and there was no fridge, but the service staff was incredibly polite and accommodating. When we reached out to the sales manager, they responded quickly and provided helpful suggestions. The area had great food options, but the breakfast from the restaurant connected to the hotel was especially great. Additionally, the second floor has recently been renovated and is very quiet.","

This accomodation has seen multiple customers who kept returning. The facilities in the room were neat and tidy but the shower was prone to spilling water onto the floor. The price for breakfast was a bit high, and guests weren't able to get bottled water in the room. The parking offered at the hotel was pricey, yet it still offered some exceptional benefits.","

The hotel is conveniently located within a short walk from some of the attractions and is",0.007053059516755557
ref,train,6,"

This hotel is an interesting spot for a stay. The site is rather convenient, albeit without great access to public transportation. Places to shop and theaters are in the vicinity, making the location more desirable. The bathrooms include modern showers. The majority of the personnel are amiable to customers. The hotel also has a little eatery that offers top-notch food, including local and organic produce. The elevator is a vintage piece that provides a unique feel to the place.","

Despite the fact that this hotel was quite busy, it was pleasantly quiet. Situated in the ideal spot for exploring downtown and close enough to attractions for a reasonable stroll, the hotel was very agreeable. The room was roomy and tidy, and the lavatories were quite sizable, as well as having extremely cozy bedding. The staff seemed to lack enthusiasm, but the housekeeping crew definitely provided a thorough and relentless clean. There were plenty of meal options to choose from and an array of delightful morning meals and tasty curries for lunch. To top it all off, there was an ice machine available","

This hotel offers an enjoyable experience and is highly suggested.",0.04569834920429535
ref,train,7,"

Some people suggest this hotel to others, while others may not. It is conveniently located near St. Charles line as well as being within walking distance of the Garden District and a short distance away from the French Quarter. The hotel rooms boast kitchen facilities and are in immaculate condition despite having small bathrooms. However, the shower was top-notch. Additionally, the staff were particularly courteous, especially the welcoming porters. Moreover, the hotel is surrounded by incredible culinary spots. There is a security feature allowing access to the building with the use of a wristband.","

The lodgings in the area and its vicinities can be quite loud overall, as would be expected in such a prime position. Some disruption is not to be discounted, but the upside of the ideal spot more than offsets this. We found that the chamber was not clean and had not been prepared when we arrived, which was a shame, particularly as a tranquil atmosphere had been requested. The staff appeared ill-equipped to assist. The morning meal was very well made though. As far as parking was concerned, the fees per day were more than reasonable, but the availability of hot water was a bit wanting.","

This was definitely an excellent",0.040886915115565435
ref,train,8,"

This accommodation makes for a terrifically enjoyable and delightful getaway. If you're coming back to Venice, you wouldn't want to be staying anywhere else. The hotel's locale is superb for getting to great eateries as well as being near to water-ferry docks. The room was spacious and new with a tasteful, historically-inspired design. Breakfast was somewhat plain, but it was still a respectable beginning to the day with various continental substances, like yoghurts, cereals, etc. All in all, the hotel offers superb value for money.","

The hotel is conveniently situated in a peaceful area, yet is only a short walk away from public transport to facilitate sightseeing further away. There is a range of room sizes, some with the bonus of a canal view. The breakfast spread is plentiful and the option of an evening meal with a view of the canal is a wonderful experience. The hotel looks exactly as promised on their website and the checkout procedure was very streamlined.","

The personnel working at the accommodation are accommodating and it is highly",0.037746184822240354
ref,train,9,"

This hotel is an adequate place to stay and can leave one very content in the end. There were a few setbacks in the beginning, however it is still an attractive hotel. You can have some serenity here, but still stay close to the main attractions of restaurants and shopping. The rooms were tidy and set up for those with disabilities, but could be problematic in terms of immediate access. The staff are alright and most are willing to help which is fortunate, however they do deal with valet parking which can be a bit repulsive. Dinner at the hotel was marvelous, and there are many other places near by that offer alternatives especially Italian cuisine. There is a nice patio, unfortunately it is near the pool and other patios which can be quite noisy. Additionally, the hotel does provide valet and parking services.","

This hotel offers a great bargain to guests who stay for three nights, getting their fourth night free. Moreover, the hotel is close to many tourist attractions, such as the zoo and aquarium. The view from the rooms was beautiful, encompassing the city, Diamond Head and the zoo. Sufficient room and bath, although an extensively thorough clean is needed. The majority of the staff were welcoming and knowledgable, although there were a few who were not that helpful. Every single day, guests can enjoy free buffets, so this is something to certainly take advantage of. The swimming pool's tiles can be very slippery, so proceed with caution when using this facility","

An excellent spot close",0.04594480703317583
