summ_type,split,example_id,summ_a,summ_b,summ_comm,nli_contrast_neut_score
ref,train,0,The hotel offers only suites. The hotel is impeccable. The hotel was tastefully adorned with Christmas lights for the holidays. There were attractive palm trees at the hotel. This hotel is situated in an ideal spot near the beach. The environment is tranquil. The airport and Duval Street can be reached quickly via shuttle. Downtown is quite distant. The accommodations are modern. The accommodations have ample square footage. The accommodations have ample storage. The beds are cozy. The restroom is quite spacious. There is a lovely vanity area. The personnel were willing to accommodate. There was a last minute request for a late checkout. The restaurant serves delicious meals. The restaurant shuts down before we would like. The hotel provides bicycles. The bicycles are for rent. Parking in the vicinity can be quite expensive. The expense is on a daily basis. The elevators do not seem secure.,"This hotel was too expensive. The level of cleanliness it provided was not up to par. This hotel isn't in a desirable spot. The hotel lies beyond the historic city center. Many of the popular sights are located in the historic city center. It was pleasant to be away from the busy city center. It would have been preferable to be closer to the main attractions. Some of the personnel were impolite. Some of the personnel were uncooperative. When staying at this hotel, you can enjoy the experience of eating your breakfast. The breakfast is served at the outdoor restaurant. If you are a Florida resident. You can inquire about a discounted rate. The discounted rate is for this wonderful stay. It is definitely worth taking a look at the pool. It is definitely worth taking a look at the hot tub.",People have recommended the hotel. The hotel has friendly and accommodating staff.,0.5365853658536586
ref,train,1,The hotel has a pleasant atmosphere. The hotel is a great bargain. This spot is ideal if you want to be near all the entertainment and excitement. You may experience some noise from the nearby street. The rooms in this rural area are a bit cramped. The rooms are cozy and spotless. The beds are sizable. The room had a thatched roof. The thatched roof allowed air to circulate. The thatched roof did not provide any soundproofing. The hotel offers a delicious breakfast. The breakfast can be enjoyed in the garden. The breakfast can be taken to go. The hotel does not have its own parking.,"The hotel stands out in the Yucatan province. The hotel is distinct from more touristy places like Cancun. Many people have praised the food served at the hotel. The hotel is an ideal place to stay for multiple visits. The spot is ideal. It is in close proximity to stores and eateries. The accommodations are simple. The showers are functioning properly. The rooms have been deliberately designed without modern conveniences. The modern conveniences include televisions, radios, and telephones. The towels in the room are distinctively crafted. The towels are crafted into the form of animals. There were two large pools. There were a few ping-pong tables. The internet access is somewhat disappointing. Unfortunately.",The personnel at the accommodation were amiable and accommodating. It is situated in close proximity to the shoreline.,0.578125
ref,train,2,This location is an ideal spot to stay. It's very tranquil. The hotel is situated near the station. The station is located in a former monastery. The former monastery is surrounded by lovely gardens. The hotel's accommodations are roomy. The hotel's accommodations are tidy. The hotel's accommodations come equipped with air conditioning. The cost of the food at the hotel is within a reasonable range. The hotel lobby has complimentary Wi-Fi. You can borrow a laptop if you require one.,This hotel is an excellent bargain. It will surely enhance your excursion. It will make it a memorable experience. This hotel had some fantastic spots. These spots were within walking distance. The hotel has well-equipped rooms. The hotel has nicely decorated rooms. The rooms with a view come with a higher price tag. The assortment of breakfast food was delicious. I would highly recommend it. The hotel would be even better if it had a view of a lagoon. That being said (this is a transitional phrase).,The employees were accommodating. The employees were extremely accommodating. The employees were at the hotel.,0.7884615384615384
ref,train,3,If you are in search of a tidy and respectable hotel. This is the perfect one for you. It gives a delightful and unforgettable stay. This place is great. You can observe the Colosseum from the hotel. The Colosseum is just a short stroll away. The decor of the hotel rooms is pleasant. Some people may think the bed is too small. The day shift employees conversed. They conversed in English. The hotel provides a continental breakfast spread. The cappuccino served on the rooftop terrace is delicious. The morning meal is exceptionally delicious. The showers are located in the hotel bathrooms. The showers are somewhat compact.,The accommodation at the hotel was cozy. It felt like a second residence. I suggest it. The suggestion is highly recommended. The hotel is conveniently located near the main train station. The hotel is conveniently located near a subway line that goes to all the famous landmarks of Rome. The subway line makes it easy to get around on foot. The hotel is in close proximity to a grocery store. The rooms in the hotel are spotless. The rooms offer a scenic outlook. The morning meal provided by this hotel was exceptionally delicious. There is a selection of options from pastries to scrambled eggs. The flavor was delightful.,The hotel is conveniently situated. The hotel has easy access to public transport. The personnel at the hotel were very accommodating.,0.7258064516129032
ref,train,4,This condo was a fantastic choice. It provides a cozy atmosphere. It offers ease of access. It surpasses the quality of a hotel stay. It would be a pity. One did not return. The hotel is conveniently placed near the lake. There is the possibility to rent boats from Indian Point if needed. There are incredible vistas. The personnel at this hotel were extremely helpful. The personnel at this hotel were extremely amiable and pleasant. The units looked out onto the lake. The units had spacious balconies with roofs. The balconies were perfect for sipping your morning coffee. The only issue with this hotel is that the guests in the room above were making noise all night. The noise was quite disruptive.,This stay was alright. The views were absolutely stunning. The spa amenities at the hotel were of the highest quality. The spa amenities at the hotel created a pleasant atmosphere. The room was quite loud. The room lacked a mini-fridge. The pull-out sofa was surprisingly well-made. The pull-out sofa provided an excellent night's sleep. The majority of the employees at this location were incredible. They gave a truly unforgettable experience. The only negative aspect was that the doormen and front-desk attendant could be impolite at times. The rest of the staff were outstanding. The fare was a little pricey. The cafe's cuisine was undeniably excellent. The hotel had a movie theater. The movie theater showed films for children as well. The lake was beautiful. There was an interior courtyard.,The hotel provided a pleasant atmosphere to stay in. The hotel provided a cozy atmosphere to stay in.,0.4722222222222222
ref,train,5,The room had WiFi. The room had Apple TV. The addition of Apple TV was excellent. The shower was outstanding. Furthermore (adds emphasis to the previous statement). The pillows were quite plump. There was no fridge in the room. The personnel were courteous. The personnel were helpful. The sales manager contacted was swift in their response. The sales manager provided useful advice. The hotel's vicinity offers a wide selection of culinary choices. The breakfast from the restaurant connected to the hotel was particularly delicious. The recent renovation of the second storey of the hotel has made it a tranquil and peaceful place.,This hotel has hosted guests. Some guests have returned multiple times. The room was fully stocked. The room was spotless. The shower had a tendency to drip onto the bathroom floor. The cost of the hotel's breakfast was slightly high. No bottled water was provided in the room. The parking at the hotel was quite costly. The hotel did offer good value in other areas.,It is possible to walk to some of the attractions from the hotel. It is highly suggested.,0.56
ref,train,6,The hotel is a distinctive spot to stay. It is a general statement. The spot is decent. It doesn't have an ideal connection to a subway station. The location is close to shopping centers. The location is close to the theater district. The vicinity to both the shopping centers and the theater district enhances the quality of the location. The shower was in the room. The shower was very up-to-date. The majority of the personnel were amicable. The personnel were amicable towards visitors. This hotel boasts a tiny eatery. The eatery serves outstanding cuisine. The cuisine is made with locally sourced and organic ingredients. The hotel has an old-fashioned elevator. The old-fashioned elevator is a fun feature.,The hotel has a bustling atmosphere. The hotel was surprisingly tranquil. This hotel is conveniently placed for venturing around downtown. The hotel is within a reasonable distance for a stroll to other points of interest. The hotel rooms were roomy. The hotel rooms were immaculate. The bathrooms were spacious. The bedding in the room was very comfortable. The personnel at this hotel seemed somewhat apathetic. The housekeeping crew did an outstanding job with the cleaning. The hotel provided a nice selection of food. The breakfast was delicious. The curry lunches were tasty. The hotel provides an ice machine for its guests. The ice machine is located in the hallways of the rooms.,This hotel offers an experience. The experience is pleasant. It is strongly advised.,0.38235294117647056
ref,train,7,Some may advocate for the hotel. Others might not. The hotel is conveniently located near the St. Charles line. The Garden District is just a short walk away from the hotel. The French Quarter is a slightly longer distance from the hotel. The hotel has large rooms. The rooms come with a kitchen. The rooms are spotless. The bathrooms are on the smaller side. The shower was top-notch. The personnel at the hotel were extremely accommodating. The friendly doormen were especially accommodating. This hotel offers a wide selection of food. The food is delicious. The hotel offers a security measure. The security measure involves the distribution of wristbands. The wristbands are used to gain access to the premises.,The hotel and its vicinity are quite loud. It is not surprising. The spot is unbeatable. The location is perfect. The slight sound of background noise is a minor inconvenience. Being in the ideal spot is a benefit. The condition of the little room was not in great shape. The room had not been tidied up when we arrived. The guest asked for a peaceful room. The room given was quite loud. The personnel appeared to be uncooperative. The personnel appeared to be inefficient. The hotel served breakfast. The breakfast was extremely delicious. The cost of parking is rather exorbitant. The parking situation is challenging. There was no hot water available. Only lukewarm water was available. This was in addition to other issues.,This was an excellent hotel.,0.4594594594594595
ref,train,8,"This hotel provides an enjoyable experience. This hotel provides a delightful experience. If you were to come back to Venice. You would not want to stay anywhere else. The hotel is ideally located near a variety of good eateries. The hotel is conveniently close to water-ferry stops. The hotel room had a large, recently renovated bathroom. The atmosphere was tranquil overall. The rooms have been adorned. The adornment is done with an appreciation for the past. The breakfast wasn't anything fancy. The breakfast had a selection of continental-style yoghurts, cereals, etc. The breakfast was still satisfying. to begin the day. The hotel offers an excellent price point.",The hotel is situated in a peaceful area. The hotel is only a short walk away from public transportation. You can explore beyond the vicinity if you wish. The dimensions of the hotel rooms vary. All of the hotel rooms have a view of the canal. The breakfast selection was abundant. You could opt to have your dinner while admiring the canal. It creates a truly enchanting atmosphere. The hotel was exactly as depicted on their website. Checking out was a breeze.,The personnel at the hotel are amicable. It is suggested to stay there.,0.7222222222222222
ref,train,9,"This location is satisfactory. This location will bring you contentment in the end. At first, this hotel had a bit of a rocky beginning. It's still a pleasant place to stay. The hotel provides a tranquil atmosphere. The hotel is conveniently located in proximity to restaurants and stores. The room was tidy. The room had suitable provisions for those with disabilities. It could take some time to gain entry. The personnel at this location are satisfactory. The personnel at this location are generally quite accommodating. Valet parking is enforced. It can be a bit of a deterrent. We had a meal at this hotel. The meal was absolutely delicious. The meal was very enjoyable. There is a restaurant nearby. The restaurant offers Italian cuisine. This is in addition to something else (not specified in this sentence). The patio was situated outside. The patio had a view of the pool and other patios. The noise level on the patio was quite high. Valet services are offered. Parking services are offered.",If you stay at the hotel for three nights. The fourth night is complimentary. The hotel is located near a zoo and aquarium. The hotel is located near other popular attractions. The hotel room had a view of the cityscape. The hotel room had a view of Diamond Head. The hotel room had a view of the zoo. The room and bathroom were of a satisfactory size. They could use a thorough cleaning. Most of the personnel at the hotel were affable and well-informed. A few of the personnel at the hotel were not as accommodating. This hotel offered complimentary buffets every day. It would be a shame not to take advantage of this. The hotel has a swimming pool. The tiles around the pool are very slippery. You should be careful when using the pool.,It is a fantastic spot. The spot is close to the shoreline.,0.7142857142857143
