summ_type,split,example_id,summ_a,summ_b,nli_contrast_neut_score
ref,train,0,This is an all suite accommodation. The accommodation is impeccable. The hotel was ornamented during the festive period. The ornamentation included appealing Palm trees and yuletide illuminations. This hotel is so near to the shore. This hotel is ideally situated for tranquility and silence. The aerodrome and Duval avenue is only a brief conveyance away. The city center is quite distant away. The chambers are modern. The dimensions of the chambers are enormous. There is ample storage capacity in the chambers. The beds are cozy. The beds are exceedingly cozy. The bathroom is quite spacious. There is a pleasant dressing station in the bathroom. The personnel were eager to assist. They were eager to assist with last minute expedited checkout demand. The eatery furnishes excellent fare. It shuts too prematurely for us. The hotel truly has cycles to let. Parking near-by can be very expensive. The cost is per day. The lifts feel insecure.,It was exorbitant at this hotel. The tidiness standards were merely satisfactory. This hotel doesn't occupy a favorable position. It is beyond the ancient city. Some excellent sights are located in the ancient city. It is somewhat pleasant to be away from the principal boulevard. It could have been nearer to the chief attractions. Some of the personnel were discourteous. Some of the personnel were uncooperative. You can devour your brunch at the external eatery. The hotel is truly delightful. This is a stellar residence. You can inquire for a diminished rate. The diminished rate is available if you are a Florida inhabitant. The pool is really worth investigating. The Jacuzzi is worth investigating.,0.20512820512820512
ref,train,1,The hotel has a pleasant atmosphere. The hotel is a good bargain. This spot is excellent for accessing the superb excitement and activity close-by. There is commotion sound from the road the hotel is situated on. The bucolic accommodations here are somewhat petite. The accommodations here are genuinely cozy and spotless. The mattresses are ample. There was a thatched ceiling to the chamber. The thatched ceiling gave an airy feel. The chamber was not soundproof. The hotel provides a wonderful breakfast. The breakfast can be consumed over the garden. The breakfast can be taken away. The hotel does not offer exclusive parking.,"The hotel is a point of interest in the Yucatan province. The hotel is disparate to the mercantile zones such as Cancun. The fare at the inn is highly praised. The inn usually merits recurrent visits. The position is perfectly ideal. The position is really near to shopping and eatables decisions. The rooms are elementary. The showers operate efficiently. The chambers are intentionally void of modern amenities. The modern amenities that are excluded are televisions, radios, and telephones. The towels supplied in the room are fashioned into animal forms. The towels are fashioned exquisitely. There were two large pools. The two large pools were ideal. There were some ping-pong tables. The internet availability is a bit of a disappointment.",0.3
ref,train,2,This is a truly splendid spot to remain. It's very peaceful. The station is really near the hotel. The station is situated in an ancient monastery. The ancient monastery is embedded in lovely gardens. The chambers in the inn are roomy. The chambers in the inn are tidy. The chambers in the inn have climate control. The sustenance at the inn is priced moderately. The hotel lobby furnishes gratis wi-fi. You can draw on one of their computers if required.,"This hotel is excellent. It is worth it. It certainly contributes to making your excursion truly remarkable and pleasurable. There were some excellent spots. The spots were within strolling distance. The spots were at this inn. The hotel has highly appointed and attractively ornamented rooms. The rooms with vistas are quite costly. The breakfast items were varied and delicious, highly recommended. This hotel could be enhanced if there was a waterfront view.",0.38095238095238093
ref,train,3,"If you're seeking a tolerable hygienic hotel, then this is the appropriate one for you. It furnishes a pleasurable and memorable experience. This is a delightful spot. You can even view the Colosseum from the inn. The Colosseum is less than a ten-minute stroll away. The chambers in the hotel are neatly adorned. Some may consider the bed diminutive. The day personnel articulated English. The hotel has a continental smorgasbord breakfast. The breakfast is accessible on the top deck. The cappuccino served is palatable. The breakfast is palatable. It is very palatable. The showers are in the hotel bathrooms. The showers are a bit diminutive.",The stay at the inn was snug. The stay at the inn gave an atmosphere of a home beyond home. The product is certainly endorsed by many satisfied customers. The proposal was certainly endorsed by the committee. Her skills were certainly endorsed by her supervisor. The hotel is in a favorable position for a brief stroll to the chief railway station. There is a subway line connecting to all the antique monuments of Rome. The hotel is conveniently situated. The hotel is situated near a grocery store. The chambers in the inn are spotless. The chambers in the inn have a vista. The breakfast at the inn was really tremendous. The breakfast had a tremendous assortment from sweetmeats to jumbled eggs. Very delectable.,0.1724137931034483
ref,train,4,This is a superb condominium. The condominium was cozy. The condominium was opportune. The condominium was far better than inhabiting a motel. It would be a disgrace. Not to come back again. The position of the hotel is faultlessly placed on the lake. There is the choice to hire vessels at Indian Point if required. Stupendous vistas. The personnel at this hotel were remarkably affable and amiable. Being at this hotel was really beneficial. The lodgings face the lake. The lodgings have big sheltered balconies. You can enjoy your coffee on the balconies. There is only one grievance. The folks in the room above were awake all night long. That is the only drawback to this hotel.,"This was an acceptable stay here. There is some truly picturesque scenery around the spot. The spa amenities at the hotel were superior. It created a pleasing ambiance. The room was quite clamorous. The room didn't even have a miniature refrigerator inside. The draw-out sofa was actually really excellent quality. Slumber was superb on it. Most of the personnel were exceptional here. They delivered such an unforgettable service. The only drawback was the doormen and front-desk lady were sometimes impolite. Generally, the personnel were superb. The victuals were a tad costly. The eatery definitely has unsurpassable fare. The hotel had a cinema. The cinema showed children's films. There existed a charming lake. There existed a covered patio.",0.05714285714285714
ref,train,5,"The room featured WiFi. The room featured Apple TV. The addition of Apple TV was great. Additionally, the shower was superb. The pillows were quite plump. There was no icebox in the room. The personnel at the hotel were courteous. The personnel at the hotel were compliant. The sales manager was approached. The sales manager was swift in reaction. The sales manager was supportive with ideas. There are excellent food choices near the hotel. The morning meal at the linked eatery was really wonderful. The second storey of the motel was recently renovated. The second storey of the motel is hushed.","This hotel has catered to visitors. The visitors have lingered on multiple occasions. The room is very amply-stocked. The room is spotless too. The shower did frequently dribble onto the lavatory floor. The breakfast in the hotel was a touch pricey. There was no bottled water present in the room. The parking supplied at the hotel is really costly. In other respects, the hotel did afford sound worth.",0.25
ref,train,6,The inn is an exceedingly singular site to remain altogether. The locale is fairly favorable. The locale doesn't have excellent access to a subway line. There is predominant shopping nearby. There is the theater district nearby. The location is excellent because of these factors. The shower was in the room. The shower was very up-to-date. Most of the personnel were amiable. The personnel were amiable to visitors. This hotel has a diminutive eatery. The eatery furnishes outstanding cuisine. The cuisine evinces great pride in utilizing regional and natural ingredients. The hotel has an antiquated elevator. The antiquated elevator is a curiosity.,The hotel was quite bustling. The hotel was remarkably quiet. The position of this hotel is ideally placed for investigating downtown. The position of this hotel is ideally placed for fitting for a moderate stroll to other fascinations and sights. The hotel rooms were roomy. The hotel rooms were immaculate. The bathrooms were spacious. The room had really comfortable bedding. The personnel at this hotel appeared a little lackadaisical. The housekeeping crew did an excellent job scrubbing. The hotel had a decent selection of food. The breakfast was pleasant. The curry lunches were decent. The hotel has an ice dispenser on hand. The ice dispenser is located in the hallways. The ice dispenser is for visitors to use.,0.3548387096774194
ref,train,7,Some would suggest the hotel to others. Some may not suggest the hotel to others. The hotel is ideally located for transportation routes like the St. Charles line. The hotel is within walking distance of the Garden District. The hotel is a bit further to the French Quarter. The hotel has roomy spaces. The roomy spaces are fitted with a cooking area. The rooms are immaculate. The bathrooms are quite diminutive. The deluge was excellent. The personnel at the hotel were exceedingly useful. The affable porters were particularly helpful. There is lots of delicious cuisine accessible around this inn. You can indulge in the cuisine. The hotel provides wristlets for access into the abode. This is a gratifying safety feature.,"The hotel and the locale are tumultuous. Tumultuousness is to be anticipated. The site is unrivaled. It is here. There is some commotion. The commotion is an insignificant cost to give for having the optimal location. The chamber was diminutive. The chamber wasn't too well preserved. Upon entry, the chamber wasn't even prepared. The person asked for a tranquil room. The accommodation provided was extremely loud. The personnel seemed amateurish. The personnel seemed uncooperative. The breakfast was furnished by the hotel. The breakfast was very commendable. The parking circumstance is quite troublesome. The cost is exorbitantly high per day. There was no scalding water. There was only warm water. Furthermore, these were the conditions.",0.027777777777777776
ref,train,8,"This hotel makes for an enjoyable stay. This hotel makes for a delightful stay. You wouldn't wish to linger elsewhere. You are coming back to Venice. The hotel is excellently placed to reach remarkable eating places. It's not far from water-ferry stops. The room in the hotel had a roomy, recently embellished bathroom. The room in the hotel was tranquil in general. The rooms are adorned. The adornment is done with a regard for history. The breakfast was somewhat elementary. It was still a favorable beginning to the day. There were pan-European yogurts and grains, etc. The hotel is of tremendous value. The hotel is worth the currency.",The hotel is favorably located in a tranquil area. You can avail public conveyance. You can travel farther off if wanted. It is only a short stroll away. The dimensions of the rooms in the hotel vary. The rooms have a waterway outlook. The breakfast food here was abundant. You can opt to dine your dinner overlooking the waterway. It furnishes a wondrous experience. The hotel appears precisely as memorialized on their website. The checkout process was very expeditious.,0.38461538461538464
ref,train,9,"This is a respectable place to remain. It will generate you a feeling of joy all together. At first, there was a slight disturbance here at the hotel. The hotel is still pleasant. There is some tranquility and hush at this hotel. The hotel is quite proximate to the activity. There are eateries and purchasing close by. The room was unsoiled. There is ample disabled entrance. It may take a while to gain admittance to the room. The personnel here are passable. The personnel here are predominantly very beneficial. They enforce valet parking. Enforcing valet parking is a bit discouraging. Dinner at this hotel was really palatable. Dinner at this hotel was really gratifying. There are other comestible choices in the vicinity. There is a bistro that dispenses Italian cuisine. There was a petite outdoor terrace. The terrace overlooked the lagoon and other patios. The terrace was quite clamorous. There are attendants available. There are parking facilities available.",The hotel has an agreement. You receive the fourth night gratis. You need to lodge three nights. The hotel is in close vicinity to a zoo. The hotel is in close vicinity to an aquarium. The hotel is amidst other sightseeing attractions. The hotel room commanded a view. The view included the municipality. The view included Diamond Head. The view included the menagerie. The chamber and lavatory were of satisfactory magnitude. They could generally use a thorough purifying. The staff at the hotel were amiable and well-informed for the most part. There were some staff members that were not as accommodating. There were gratuitous buffets daily at this hotel. These buffets must be utilized! The pavers around the hotel's swimming pool are very slick. Prudence is recommended if utilizing the facility.,0.24390243902439024
