summ_type,split,example_id,summ_a,summ_b,summ_comm,nli_contrast_agg_score
ref,train,0,"This all suite hotel is flawless. Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights. This hotel is so close to the beach and is perfectly located for peace and quiet. The airport and Duval street is only a short shuttle away, but downtown is quite far away. Morden rooms with great size and a lot of storage space. The beds are super comfortable. The bathroom is also pretty large with a nice vanity area. The staff were even willing to help with last minute late checkout request. The restaurant provides great food, but it closes too early for us. The hotel actually has bikes to rent. Parking close-by can be very pricey per day. The elevators feel not safe.","

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.","

This hotel is completely spotless, especially during the Christmas season when it is brightened up with decorations like lights and palm trees. Its remote location is perfect for those looking for peace, being close to the beach and only a few minutes away from the airport and Duval street. The rooms are up-to-date with enough storage room, as well as super comfy beds. The bathrooms are huge, along with a nice vanity space, and the staff is always receptive to last minute requests. The restaurant has delicious food, even though it closes quite early. Furthermore, the hotel even provides people with bikes to hire. However, daily parking in the area can be quite expensive. The elevators can make you feel a bit worried.",0.6719459335586526
ref,train,1,"The hotel has an enjoyable ambience and is great value for money. This location is great if you're looking to access the great fun and action close-by, but with that comes hustle-and-bustle noise from the street the hotel is located on. The rustic rooms here are a little small but really comfortable and clean while the beds are big. There was a thatched roof to the room that provided an airy feel but of course not soundproof. The hotel provides great breakfast to be eaten above the garden or to take away. The hotel does not provide private parking unfortunately.","

The hotel is a great choice due to its pleasant atmosphere and cost-effectiveness. If you're looking for activities in the nearby vicinity, this is the spot for you. However, due to its street location, there may be some street noise to consider. The rustic rooms may be a bit constrained but comfortable and tidy. The beds are substantial. The room had a thatched roof, making it airy, but don't anticipate any soundproofing. A nice breakfast is provided to be enjoyed in the garden or to be taken out of the premises. Unfortunately, the hotel doesn't offer private vehicle parking.","

This hotel brings you a pleasant ambiance along with a low cost. It has a great location that makes it easy to find nearby activities. Though, it's not without its share of street noise. Its rustic rooms aren't huge, but they're cozy, neat and have big beds. The rooms have thatched roofs making them naturally airy, but sound won't stay inside. To start your day, they give you a lovely breakfast to be eaten in the garden or packed to go. Sadly, you can't park privately on the property.",0.5721853879980195
ref,train,2,"This is a really great place to stay and it's really quiet. The station is really close to the hotel and it is located in an old monastery set in beautiful gardens. The rooms in the hotel are spacious, clean and with air conditioning. The food at the hotel is reasonably priced. The hotel lobby provides free wireless internet and you can also borrow one of their laptops if needed.","

Staying here is a great experience; it's so tranquil. The train station is conveniently located nearby, with the hotel nestled in a grand monastery surrounded by stunning gardens. Room sizes are generous, kept tidy and have good air-conditioning. Prices for the meals at the hotel are affordable. Plus, the lobby has free wireless connection and computers for borrow.","

Living in this place is a remarkable experience, with the soothing atmosphere. The hotel is located close to the train station, situated inside an impressive monastery with gorgeous gardens near it. The rooms are all spacious, neat, and climate-controlled. Additionally, the meals served at the hotel are reasonably-priced. Furthermore, the lobby has readily-available Wi-Fi and computers which can be",0.49481781455245405
ref,train,3,"If you're looking for a decent clean hotel then this is the right one for you because it provides a pleasant and unforgettable experience. This is a nice location because you can even see the Colosseum from the hotel, which itself is less than a ten minute walk away. The rooms in the hotel are nicely decorated, although some may find the bed small. The day staff spoke English. The hotel has a continental buffet breakfast with good cappuccino available on the roof terrace. The breakfast is very tasty. The showers in the hotel bathrooms are a little small.","

If you're in search of a satisfactory and decent hotel, this is the place for you. It offers an enjoyable and lasting experience. This property has a great location, as the Colosseum can be seen from the building and it is a short walk away. The accommodations are impeccably decorated, but the beds may be deemed small by some. The customer service personnel speaks the English language. There is an extensive continental breakfast available on the rooftop terrace, featuring great cappuccino and flavorsome dishes. The bathrooms have somewhat tiny showers.","

If you're looking for a satisfactory and suitable hotel, this is the one. They offer a pleasant and lasting stay. The location of the property is ideal, with the Colosseum being in sight of the building and a short walk away. The guestrooms are elegantly decorated, though some may view the beds as too small. The hotel staff are able to converse in the English language. They have a fabulous continental breakfast on the rooftop terrace, which includes delicious cappuccino and scrumptious dishes. Unfortunately, the bathrooms have mini showers.",0.5122085181917845
ref,train,4,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel. It would be a shame not to come back again. The location of the hotel is perfectly situated on the lake and there is the option to rent boats down at Indian Point if needed. Fantastic views. As well as being really helpful the staff at this hotel were super friendly and nice. The units facing the lake had large covered patios to enjoy your coffee on. There is only one complaint and that is the people in the room above were up all night long, but that is the only downside to this hotel.","

This condo was an incredible experience - comfortable, convenient, and much more pleasant than a hotel. It would be regrettable not to come back again, especially due to how perfectly the hotel rests beside the lake, with the possibility of renting boats from Indian Point. The sights were remarkable, and to top it off the staff at the hotel were beyond friendly. The units overlooking the lake had big patios suitable for enjoying a cup of coffee. The only negative was the people staying in the room on the upper floor who were loudly up all night, but that was the sole downside to this fabulous condo.","

It was such a delight to stay in this condo, with it being much more preferable than that of a hotel. Experiencing the tranquility of the lake, alongside the ability to hire boats from Indian Point, made it all the more worthwhile. The views were remarkable, and there was nothing the hotel staff could do more to make everyone more comfortable. Even the balconies set overlooking the lake are perfect for a relaxing cup of coffee. The only downside, unfortunately, was the people in the upper floor who kept everyone up all night with their noise levels, however, this did not combat the wonderful time at this condo.",0.6103588861473197
ref,train,5,"The room featured WiFi and Apple TV, which was a great touch. Additionally the shower was excellent. The only negatives really are the pillows were pretty full and there was no refrigerator in the room. The staff at the hotel were polite and accommodating. The sales manager that was contacted was efficient in response and helpful with suggestions. There are great food options around the hotel but the breakfast in the connected restaurant was really great. The second floor of the hotel was recently refurbished and quiet.","

The room was equipped with WiFi and Apple TV, which was great. The shower was satisfying, although the pillows were quite stiff and there was no refrigerator. The staff at the hotel were friendly and accommodating, and the sales manager contacted was very effective at responding and providing helpful advice. There were great restaurants close by the hotel, but the breakfast at the one attached was particularly great. The second story of the hotel had recently been refurbished and was very quiet.","

The accommodation had WiFi and Apple TV available, which was great, and overall the shower was satisfactory. Despite this, the pillows were quite firm and unfortunately there was no refrigerator. The staff at the hotel were friendly and willing to help, and the sales manager contacted was highly responsive, providing useful assistance. There were restaurants around the area, though the attached one had a particularly delicious breakfast. The second floor of the hotel had recently been refurbished and was particularly tranquil.",0.5509925796889089
ref,train,6,Overall the hotel is a really unique place to stay. The location is pretty good but doesn't have great access to a subway line. There's mainstream shopping and the theatre quarters close-by though which adds to how good the location is. The shower in the room was very modern. Most of the staff were friendly to guests. This hotel has a small restaurant that provides superb food that very proudly uses local and organic produce. The hotel has an archaic elevator which is a novelty.,"

This hotel has a one-of-a-kind feel to it and is situated in a convenient area, despite not having a subway near by. Shopping centers and theaters are just a few blocks away, enhancing its location. The bathroom features cutting-edge features, and most of the staff were hospitable. The in-house eatery offers outstanding food made with locally sourced, organic ingredients. Added to that, the old-fashioned elevator provides an interesting experience.","

This hotel provides a distinctive atmosphere and an advantageous spot, even without a subway station in the vicinity. It is a few blocks from department stores and cinemas, making it even more eye-catching. The modernized bathroom amenities are appealing, and the majority of the staff members were warmly welcoming. To boot, the restaurant in the hotel serves exquisite meals composed of local and organic components. Additionally, the classic lift provides a unique adventure.",0.6293333129432301
ref,train,7,"Some would recommend the hotel to others, although some may not. The hotel is ideally situated for transportation routes like the St. Charles line but also in walking distance of the Garden District and a bit further to the French Quarter. The hotel has spacious rooms equipped with a kitchen. The rooms are very clean but the bathrooms are rather small. The shower was excellent. The staff at the hotel were incredibly helpful , particularly the welcoming porters. There is lots of great tasting food available to eat around this hotel. The hotel provides wristbands for entry into the premises which is a pleasing security feature.","

Many people are divided on their opinion of the hotel, yet it remains in a convenient position for buses on the St. Charles line, as well as being close to the Garden District and a bit farther from the French Quarter. The rooms are roomy, with a kitchen included and kept nicely clean, with the exception of somewhat small bathrooms. The showers, however, were fantastic. The staff was extremely helpful and friendly, especially the front desk porters. The eateries close by were tasty and the hotel's use of wristbands for entry is a nice security feature.","

People have different feelings about this hotel, but it is located near buses on St. Charles Avenue and also close to the Garden District but not too far from the French Quarter. The rooms are spacious and include a kitchen, which was pretty neat and clean, save for the bathrooms which were a bit tiny. On the other hand, the showers were great. The people working there were both welcoming and helpful, particularly the front desk workers. The eateries nearby were all delicious and the hotel's use of a wristband for entry was a nice security touch.",0.6251352134775012
ref,train,8,"This hotel makes for a really pleasant and delightful stay. You wouldn't want to stay anywhere else if returning to Venice. The hotel is perfectly situated to get to great restaurants and it's close to water-ferry stations. The room in the hotel had a spacious, newly decorated bathroom and a quiet room in general. The rooms are decorated with a respect for history. The breakfast was a little bit basic but it was still a good start to the day with continental-style yoghurts, cereals etc. The hotel is great value for money.","

This hotel provides a delightful and delightful stay. If you come back to Venice, you would not want to stay in any other place. It is ideally located to access some wonderful restaurants and it's in close proximity to water transportation stops. The accommodation in the hotel presented a nicely decorated bathroom, and an ambient room. The decorations respected the historical heritage. The morning meal wasn't extravagant yet it still allowed a nice start to the day with continental yogurt, cereal, and more. The hotel provides guests with amazing value for the cost they pay.","

Visiting this hotel guarantees a satisfactory and memorable experience. Whenever you come to Venice, you shouldn't consider sleeping anywhere else! It is conveniently located near a variety of excellent restaurants, and it's close to public transport stops. The guestrooms are wonderfully decorated and the atmosphere is cozy. All the decorations also honor the city's history. Although the breakfast wasn't extravagant, you can enjoy delicious continental favorites like yogurt, cereal, and more. You'll get unbeatable value for your money when you stay in this hotel!",0.5360270172837229
ref,train,9,"This is a decent place to stay and will leave you feeling happy overall. Initially there was a bit of a rough start here at the hotel but still a nice hotel. There is some peace and quiet here at this hotel but it is still quite close to the action with restaurants and shopping nearby. The room was clean with adequate disabled access , but it may take a while to get access to the room. The staff here are okay and mostly very helpful. They do enforce valet parking however which is a little offputting. Dinner at this hotel was really good and pleasing. There are also other food options nearby such as a restaurant that serves Italian food. There was a small outdoor patio which unfortunately overlooked the pool and other patios and that made it quite noisy. There are valet and parking services available too.","

This place is quite pleasant and sure to leave you satisfied overall. At first it was a bit rocky, but it is still a nice hotel. You do get some peace and quiet here but there are also some activities such as eateries and retailers close by. The accommodation was neat with adequate disabled access, although it could take a bit a while to get in. The staff are all right, usually being very helpful. Though they do use valet parking, which can be a bit annoying. The restaurant at the hotel had a good taste and there are also other restaurants, such as an Italian cuisine spot, in the neighborhood. There was a small patio outside, however it was quite noisy as it overlooked the pool and other patios. Valet and parking facilities can be utilized.","

This hotel is quite welcoming and guaranteed to make your stay satisfactory overall. It started out a little shaky, but it is still a great place. You can have some alone time here, but there are also nearby eateries and retailers. The room was kept clean and well-equipped for disabled access, although getting in could take a little bit of time. The staff are alright, generally being very obliging. However, valet parking can be quite tedious. The restaurant inside the hotel had excellent food, and there are other places to eat, including an Italian eatery, in the surrounding area. There was an outdoor seating area, but it was a bit noisy as it faced the pool and other outdoor areas. Valet and parking are both available.",0.6724494568622248
