summ_type,split,example_id,summ_a,summ_b,nli_contrast_ent_score
ref,train,0,"This is an all suite hotel. The hotel is flawless. Around the holidays season, the hotel was well decorated for X-mas. There were lovely Palm trees and Christmas lights. This hotel is so close to the beach. This hotel is perfectly located for peace and quiet. The airport and Duval street is only a short shuttle away. Downtown is quite far away. The rooms are modern. The rooms have great size. The rooms have a lot of storage space. The beds are comfortable. The beds are super comfortable. The bathroom is pretty large. There is a nice vanity area. The staff were willing to help. The help was with a last minute late checkout request. The restaurant provides great food. The restaurant closes too early for us. The hotel has bikes to rent. Parking close-by can be very pricey. The price is per day. The elevators feel unsafe.",This hotel offers nothing but suites. The hotel is perfect. The hotel was festively adorned during the Christmas period. There were beautiful Palm trees and twinkling lights. The hotel is situated in a peaceful spot. The peaceful spot is just a short distance from the beach. The airport and Duval Street are only a short ride away via shuttle. Downtown is quite a distance away. The rooms are modern. The rooms are ample in size. The rooms have plenty of storage. The beds are cozy. The beds are extremely cozy. The restroom is fairly spacious. The restroom has a pleasant vanity area. The personnel were accommodating. They assisted with a late checkout request. The request came in at the last minute. The restaurant offers excellent cuisine. The restaurant shuts down too soon for us. The hotel provides bicycles. The bicycles are available for rental. Parking in the vicinity can be quite expensive. The expense is on a daily basis. The elevators do not feel secure.,0.9166666666666666
ref,train,1,The hotel has an enjoyable ambience. The hotel is great value for money. This location is great for accessing the great fun and action close-by. There is hustle-and-bustle noise from the street the hotel is located on. The rustic rooms here are a little small but really comfortable and clean. The beds are big. There was a thatched roof to the room. The thatched roof provided an airy feel. The room was not soundproof. The hotel provides great breakfast. The breakfast can be eaten above the garden. The breakfast can be taken away. The hotel does not provide private parking.,"The hotel has a pleasant atmosphere. The hotel is an excellent deal. If you're searching for an area with plenty of activities close by, this spot is ideal. It can get rather noisy due to the traffic on the street it is situated on. The accommodations in this rustic setting are cozy and spotless. The rooms are a bit cramped. The beds are quite large. The room had a thatched roof, giving it a breezy atmosphere. Unfortunately, it was not soundproof. The hotel offers an excellent breakfast. The breakfast can be enjoyed in the garden. The breakfast can be taken to go. The hotel does not offer any on-site parking. Unfortunately.",0.9629629629629629
ref,train,2,This is a really great place to stay. It's really quiet. The station is really close to the hotel. The station is located in an old monastery. The old monastery is set in beautiful gardens. The rooms in the hotel are spacious. The rooms in the hotel are clean. The rooms in the hotel have air conditioning. The food is available at the hotel. The food at the hotel is reasonably priced. The hotel lobby provides free wireless internet. You can borrow one of their laptops if needed.,This is an ideal spot to stay. It is very tranquil. The hotel is situated right near the station. The area is an old monastery. The area has stunning gardens. The hotel rooms are roomy. The hotel rooms are tidy. The hotel rooms are equipped with air conditioning. The cost of the food at the hotel is affordable. The hotel lobby offers complimentary wifi. You have the option of borrowing one of their laptops if needed.,1.0
ref,train,3,"If you're looking for a decent clean hotel, then this is the right one for you. It provides a pleasant and unforgettable experience. This is a nice location. You can see the Colosseum from the hotel. The Colosseum is less than a ten-minute walk away. The rooms in the hotel are nicely decorated. Some may find the bed small. The day staff spoke English. The hotel has a continental buffet breakfast. Good cappuccino is available on the roof terrace. The breakfast is tasty. The showers in the hotel bathrooms are small.","If you're in search of a tidy, respectable hotel, this is the one for you. It delivers a wonderful and unforgettable stay. This place is great. The Colosseum is visible from the hotel. The hotel is only a short distance away. The accommodations at the hotel are nicely adorned. Some may consider the bed to be on the smaller side. The personnel communicated. They communicated in English. The communication was on a specific day. The hotel offers a continental breakfast spread. The continental breakfast spread includes delicious cappuccino. The cappuccino can be enjoyed on the rooftop patio. The morning meal is delicious. The morning meal is especially delicious. The showers are in the hotel bathrooms. The showers are somewhat diminutive.",0.9655172413793104
ref,train,4,This is a great condo. The condo was comfortable. The condo was convenient. The condo was much nicer than staying in a hotel. It would be a shame. Not to come back again. The location of the hotel is perfectly situated on the lake. There is the option to rent boats down at Indian Point if needed. The views are fantastic. The staff at this hotel were really helpful. The staff at this hotel were super friendly and nice. The units face the lake. The units have large covered patios. You can enjoy your coffee on the patios. The only complaint is that the people in the room above were up all night long. The only downside to this hotel is the noise from the people in the room above.,This condo was an excellent choice. It was cozy. It was accessible. It was much more pleasant than a hotel stay. It would be a pity. Not to return. The hotel is conveniently located near the lake. There is the possibility of renting boats at Indian Point if desired. Spectacular sights. The personnel at this hotel were quite helpful. The personnel at this hotel were extremely friendly and pleasant. The apartments were situated overlooking the lake. The apartments had spacious balconies with roofs. The balconies were perfect for sipping coffee. The only issue with this hotel is that the people in the room above were making noise all night. That is the only negative aspect.,0.9375
ref,train,5,The room featured WiFi. The room featured Apple TV. The Apple TV was a great touch. The shower was excellent. Additionally (implies that this is an added detail or point) The pillows were pretty full. There was no refrigerator in the room. The staff at the hotel were polite. The staff at the hotel were accommodating. The sales manager that was contacted was efficient in response. The sales manager that was contacted was helpful with suggestions. There are great food options around the hotel. The breakfast in the connected restaurant was really great. The second floor of the hotel was recently refurbished. The second floor of the hotel is quiet.,"The room had WiFi. The room had Apple TV, which was a really nice addition. Furthermore, the shower was superb. (This sentence cannot be split into simpler components as it is already a simple sentence.) The pillows were quite plump. There was no fridge in the room. The employees at the hotel were courteous. The employees at the hotel were helpful. The sales manager was reached out to. The sales manager was quick to respond. The sales manager provided useful advice. The hotel's vicinity offers a variety of delicious food options. The breakfast served at the restaurant connected to the hotel was especially noteworthy. The hotel's second story was recently remodeled. The second story is tranquil.",0.9655172413793104
ref,train,6,"The hotel is a unique place to stay. Overall, the hotel is a unique place to stay. The location is pretty good. The location doesn't have great access to a subway line. There's mainstream shopping close-by. The theatre quarters are close-by. This adds to how good the location is. The shower was in the room. The shower was very modern. Most of the staff were friendly. The staff were friendly to guests. This hotel has a small restaurant. The restaurant provides superb food. The restaurant very proudly uses local and organic produce. The hotel has an archaic elevator. The elevator is a novelty.","This hotel offers a very unusual experience for its guests. In general, the hotel offers this experience. The spot is decent. It doesn't have a great connection to a metro line. The area is great. Mainstream shopping is nearby. The theater district is nearby. The shower was in the room. The shower was very up-to-date. Most of the personnel were amiable. The personnel were amiable toward visitors. This hotel features a tiny eatery. The eatery serves extraordinary cuisine. The cuisine is made with locally sourced and organic ingredients. The hotel has an old-fashioned elevator. The old-fashioned elevator is a fun feature.",0.9375
ref,train,7,Some would recommend the hotel to others. Some may not recommend the hotel to others. The hotel is ideally situated for transportation routes like the St. Charles line. The hotel is in walking distance of the Garden District. The hotel is a bit further to the French Quarter. The hotel has spacious rooms. The rooms are equipped with a kitchen. The rooms are very clean. The bathrooms are rather small. The shower was excellent. The staff at the hotel were incredibly helpful. The welcoming porters were particularly helpful. There is lots of great tasting food available to eat. The food is around this hotel. The hotel provides wristbands for entry into the premises. This is a pleasing security feature.,Some people may suggest the hotel to their friends and family. Others may not suggest the hotel to their friends and family. The hotel is conveniently located near the St. Charles line. The hotel is within walking distance of the Garden District. The hotel is a short distance away from the French Quarter. The hotel offers room accommodations. The room accommodations are roomy. The room accommodations come with a kitchen. The accommodations are spotless. The bathrooms are on the cramped side. The shower was superb. The personnel at the hotel were remarkably accommodating. The hospitable porters were especially accommodating. This hotel has a wide selection of food. The food is delicious. The hotel gives out wristbands for entrance to the building. It is a nice security measure.,1.0
ref,train,8,"This hotel makes for a pleasant stay. This hotel makes for a delightful stay. You wouldn't want to stay anywhere else. You are returning to Venice. The hotel is perfectly situated to get to great restaurants. It's close to water-ferry stations. The room in the hotel had a spacious, newly decorated bathroom. The room in the hotel was quiet in general. The rooms are decorated. The decoration has a respect for history. The breakfast was a little bit basic. It was still a good start to the day. There were continental-style yoghurts, cereals, etc. The hotel is great. The hotel is value for money.","This hotel provides an enjoyable experience. This hotel provides a delightful experience. You come back to Venice. There is no other place you would rather be. The hotel is conveniently located near some wonderful eateries. The hotel is in the vicinity of water-ferry stops. The hotel room was equipped with a large, newly renovated restroom. The hotel room was peaceful overall. The rooms are adorned. The adornment reflects an appreciation for the past. The morning meal was somewhat simple. It was still a great beginning to the day. The breakfast included continental-style yoghurts, cereals, and more. The hotel offers an excellent price point.",1.0
ref,train,9,"This is a decent place to stay. It will leave you feeling happy overall. Initially, there was a bit of a rough start here at the hotel. It is still a nice hotel. There is some peace and quiet at this hotel. The hotel is still quite close to the action. There are restaurants nearby. There is shopping nearby. The room was clean. The room had adequate disabled access. It may take a while to get access to the room. The staff here are okay. The staff here are mostly very helpful. They do enforce valet parking. Enforcing valet parking is a little offputting. Dinner at this hotel was really good. Dinner at this hotel was pleasing. There are other food options nearby. There is a restaurant that serves Italian food. There was a small outdoor patio. The patio overlooked the pool and other patios. This made it quite noisy. There are valet services available. There are parking services available.","This place is satisfactory. This place should leave you feeling content. At first, this hotel had a few hiccups. It is still a pleasant place to stay. This hotel offers a tranquil atmosphere. The hotel is not far from the hustle and bustle of restaurants and stores. The room was in good condition. The room had sufficient accessibility for disabled people. It could take some time to gain entry. The personnel at this location are satisfactory. The personnel at this location are generally quite accommodating. Valet parking is enforced. It can be a bit off-putting. I was delighted with the dinner served at this hotel. There are other dining choices in the vicinity. A restaurant that offers Italian cuisine is one of the options. The patio was small. The patio was unfortunately situated in a way that it overlooked the pool and other patios. It was quite loud. Valet services are offered. Parking services are offered.",1.0
