Summary1,Sentence2,Summary1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,Type
This is a nice older hotel that doesn't have the glamour of a typical hotel. However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are. The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont. The bed was comfortable but the bathroom was rather small. The staff at this hotel seem to enjoy the Miller Harris citron toiletries.,Le Place D'Armes is an elegant historic building with a fantastic location.,b,a,20,0.985633909702301,0.010652976110577583,0.0037131879944354296,NEUTRAL,gen
This is a nice older hotel that doesn't have the glamour of a typical hotel. However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are. The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont. The bed was comfortable but the bathroom was rather small. The staff at this hotel seem to enjoy the Miller Harris citron toiletries.,Nice rooms with exposed brick and lovely touches like chocolates on the pillow and turn-down service.,b,a,20,0.9815479516983032,0.015267673879861832,0.003184431931003928,NEUTRAL,gen
This is a nice older hotel that doesn't have the glamour of a typical hotel. However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are. The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont. The bed was comfortable but the bathroom was rather small. The staff at this hotel seem to enjoy the Miller Harris citron toiletries.,Very helpful concierge.,b,a,20,0.989348292350769,0.006240190006792545,0.00441154558211565,NEUTRAL,gen
This is a nice older hotel that doesn't have the glamour of a typical hotel. However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are. The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont. The bed was comfortable but the bathroom was rather small. The staff at this hotel seem to enjoy the Miller Harris citron toiletries.,The rooms are really nice with hardwood floors and exposed brick.,b,a,20,0.7580398321151733,0.23366209864616394,0.008298047818243504,NEUTRAL,gen
This is a nice older hotel that doesn't have the glamour of a typical hotel. However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are. The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont. The bed was comfortable but the bathroom was rather small. The staff at this hotel seem to enjoy the Miller Harris citron toiletries.,The bathrooms are really big and the shower in particular is really big.,b,a,20,0.0020359333138912916,0.9977359771728516,0.00022815084957983345,CONTRADICTION,gen
This is a nice older hotel that doesn't have the glamour of a typical hotel. However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are. The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont. The bed was comfortable but the bathroom was rather small. The staff at this hotel seem to enjoy the Miller Harris citron toiletries.,The staff here at this hotel have an incredible authenticity and go out of their way to make sure you have everything you need.,b,a,20,0.981082558631897,0.01422806829214096,0.004689362831413746,NEUTRAL,gen
This is a nice older hotel that doesn't have the glamour of a typical hotel. However it is well-located for business travel and a short walk to St Catherine Street where the shopping and restaurants are. The room was slightly smaller than average although it was clean and with a slightly more modern decor than a typical Fairmont. The bed was comfortable but the bathroom was rather small. The staff at this hotel seem to enjoy the Miller Harris citron toiletries.,The only negative thing is that they charge for the conference room if it only needs it for half a day or an hour.,b,a,20,0.9921066761016846,0.005259052850306034,0.0026342514902353287,NEUTRAL,gen
The staff at the hotel are very friendly and helpful. The rooms are clean and the service is excellent.,Le Place D'Armes is an elegant historic building with a fantastic location.,comm,a,20,0.9880666732788086,0.0019781826995313168,0.00995513703674078,NEUTRAL,gen
The staff at the hotel are very friendly and helpful. The rooms are clean and the service is excellent.,Nice rooms with exposed brick and lovely touches like chocolates on the pillow and turn-down service.,comm,a,20,0.10104057192802429,0.8923788070678711,0.006580684799700975,CONTRADICTION,gen
The staff at the hotel are very friendly and helpful. The rooms are clean and the service is excellent.,Very helpful concierge.,comm,a,20,0.4706287086009979,0.02575022168457508,0.5036210417747498,ENTAILMENT,gen
