Summary1,Sentence2,Summary1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,Type
"

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants. The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont. The bedding was cozy, but the bathroom was quite small. Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.","

Le Place D'Armes is an impressive and timeless edifice, set in a prime location.",b,a,20,0.34873756766319275,0.6044217348098755,0.04684067517518997,CONTRADICTION,gen
"

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants. The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont. The bedding was cozy, but the bathroom was quite small. Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.","Every bedroom includes eye-catching, exposed brick walls and small extras such as chocolates and nighttime turndown service.",b,a,20,0.6600112915039062,0.32915976643562317,0.01082899421453476,NEUTRAL,gen
"

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants. The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont. The bedding was cozy, but the bathroom was quite small. Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.",The team of concierges are especially knowledgeable and friendly.,b,a,20,0.9848113059997559,0.012842644937336445,0.0023461044766008854,NEUTRAL,gen
"

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants. The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont. The bedding was cozy, but the bathroom was quite small. Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.","The rooms boast hardwood flooring and expansive masonry walls, while the bathrooms are large and feature a spacious shower.",b,a,20,0.0033881550189107656,0.9961899518966675,0.00042182221659459174,CONTRADICTION,gen
"

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants. The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont. The bedding was cozy, but the bathroom was quite small. Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.",The hotel employees demonstrate exemplary hospitality and willingly cater to every need.,b,a,20,0.7924748659133911,0.2008621096611023,0.006662960164248943,NEUTRAL,gen
"

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants. The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont. The bedding was cozy, but the bathroom was quite small. Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.",The only downside is that hourly or half-day charges for the seminar room can apply.,b,a,20,0.9652554988861084,0.02498481050133705,0.009759725071489811,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the","

Le Place D'Armes is an impressive and timeless edifice, set in a prime location.",comm,a,20,0.8655706644058228,0.022171447053551674,0.11225783824920654,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the","Every bedroom includes eye-catching, exposed brick walls and small extras such as chocolates and nighttime turndown service.",comm,a,20,0.7241679430007935,0.02765420638024807,0.24817784130573273,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the",The team of concierges are especially knowledgeable and friendly.,comm,a,20,0.9606313705444336,0.0020211052615195513,0.037347450852394104,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the","The rooms boast hardwood flooring and expansive masonry walls, while the bathrooms are large and feature a spacious shower.",comm,a,20,0.9003878235816956,0.010481560602784157,0.08913063257932663,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the",The hotel employees demonstrate exemplary hospitality and willingly cater to every need.,comm,a,20,0.8992310166358948,0.004910608287900686,0.09585841000080109,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the",The only downside is that hourly or half-day charges for the seminar room can apply.,comm,a,20,0.830328106880188,0.03078499808907509,0.13888683915138245,NEUTRAL,gen
"

Le Place D'Armes is an impressive and timeless edifice, set in a prime location. Every bedroom includes eye-catching, exposed brick walls and small extras such as chocolates and nighttime turndown service. The team of concierges are especially knowledgeable and friendly. The rooms boast hardwood flooring and expansive masonry walls, while the bathrooms are large and feature a spacious shower. The hotel employees demonstrate exemplary hospitality and willingly cater to every need. The only downside is that hourly or half-day charges for the seminar room can apply.","

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants.",a,b,20,0.9235094785690308,0.06533868610858917,0.011151730082929134,NEUTRAL,gen
"

Le Place D'Armes is an impressive and timeless edifice, set in a prime location. Every bedroom includes eye-catching, exposed brick walls and small extras such as chocolates and nighttime turndown service. The team of concierges are especially knowledgeable and friendly. The rooms boast hardwood flooring and expansive masonry walls, while the bathrooms are large and feature a spacious shower. The hotel employees demonstrate exemplary hospitality and willingly cater to every need. The only downside is that hourly or half-day charges for the seminar room can apply.","The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont.",a,b,20,0.9400749802589417,0.02700737863779068,0.03291763365268707,NEUTRAL,gen
"

Le Place D'Armes is an impressive and timeless edifice, set in a prime location. Every bedroom includes eye-catching, exposed brick walls and small extras such as chocolates and nighttime turndown service. The team of concierges are especially knowledgeable and friendly. The rooms boast hardwood flooring and expansive masonry walls, while the bathrooms are large and feature a spacious shower. The hotel employees demonstrate exemplary hospitality and willingly cater to every need. The only downside is that hourly or half-day charges for the seminar room can apply.","The bedding was cozy, but the bathroom was quite small.",a,b,20,0.03239445760846138,0.9654809236526489,0.0021246536634862423,CONTRADICTION,gen
"

Le Place D'Armes is an impressive and timeless edifice, set in a prime location. Every bedroom includes eye-catching, exposed brick walls and small extras such as chocolates and nighttime turndown service. The team of concierges are especially knowledgeable and friendly. The rooms boast hardwood flooring and expansive masonry walls, while the bathrooms are large and feature a spacious shower. The hotel employees demonstrate exemplary hospitality and willingly cater to every need. The only downside is that hourly or half-day charges for the seminar room can apply.","Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.",a,b,20,0.9756518602371216,0.009662145748734474,0.014685913920402527,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the","

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants.",comm,b,20,0.9966838955879211,0.0018840563716366887,0.001432049903087318,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the","The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont.",comm,b,20,0.9792545437812805,0.005598617717623711,0.015146789140999317,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the","The bedding was cozy, but the bathroom was quite small.",comm,b,20,0.9573463797569275,0.01301734521985054,0.029636211693286896,NEUTRAL,gen
"

The employees of the hotel provide excellent service and express hospitality. The lodging is neat and tidy and the","Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.",comm,b,20,0.9946423768997192,0.001088662538677454,0.004268916789442301,NEUTRAL,gen
"

Le Place D'Armes is an impressive and timeless edifice, set in a prime location. Every bedroom includes eye-catching, exposed brick walls and small extras such as chocolates and nighttime turndown service. The team of concierges are especially knowledgeable and friendly. The rooms boast hardwood flooring and expansive masonry walls, while the bathrooms are large and feature a spacious shower. The hotel employees demonstrate exemplary hospitality and willingly cater to every need. The only downside is that hourly or half-day charges for the seminar room can apply.","

The employees of the hotel provide excellent service and express hospitality.",a,comm,20,0.009387924335896969,0.002176092006266117,0.9884359836578369,ENTAILMENT,gen
"

Le Place D'Armes is an impressive and timeless edifice, set in a prime location. Every bedroom includes eye-catching, exposed brick walls and small extras such as chocolates and nighttime turndown service. The team of concierges are especially knowledgeable and friendly. The rooms boast hardwood flooring and expansive masonry walls, while the bathrooms are large and feature a spacious shower. The hotel employees demonstrate exemplary hospitality and willingly cater to every need. The only downside is that hourly or half-day charges for the seminar room can apply.",The lodging is neat and tidy and the,a,comm,20,0.7851189374923706,0.04351349547505379,0.1713675707578659,NEUTRAL,gen
"

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants. The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont. The bedding was cozy, but the bathroom was quite small. Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.","

The employees of the hotel provide excellent service and express hospitality.",b,comm,20,0.91780024766922,0.055671680718660355,0.026528088375926018,NEUTRAL,gen
"

This hotel, while not as luxurious as other hotels, is in a good location for business travelers, as it is conveniently located close to St Catherine Street with its shopping and restaurants. The room was a bit more modest in size than usual, but had a modern decor more impressive than a normal Fairmont. The bedding was cozy, but the bathroom was quite small. Additionally, guests are provided with Miller Harris citron toiletries that the staff appear to enjoy providing.",The lodging is neat and tidy and the,b,comm,20,0.33048930764198303,0.6419287323951721,0.027581937611103058,CONTRADICTION,gen
"

This hotel may be relatively inexpensive compared to hotels downtown Toronto, however, its price is still high compared to the rest of the city. It is convenient, being located near the train station, the Rogers Centre, the Air Canada Centre, the Hockey Hall of Fame, the CN Tower, and the main railway station - all within walking distance. However, the rooms are quite cramped and don't offer much storage space, the showers have only lukewarm water, and the staff provided no assistance. Parking is also costly, at $15 a","

Staying in the Residence Inn Toronto is an excellent experience and very different from taking kids out to eat.",b,a,21,0.12062671780586243,0.8738626837730408,0.0055106570944190025,CONTRADICTION,gen
