Summary1,Sentence2,Summary1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,Type
"

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves. It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center. The chambers are roomy and neat, containing a recently refurbished restroom. Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips. Sadly, there isn't any free Wi-Fi connection.",The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay.,b,a,20,0.49578559398651123,0.4281921684741974,0.07602231204509735,NEUTRAL,gen
"

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves. It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center. The chambers are roomy and neat, containing a recently refurbished restroom. Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips. Sadly, there isn't any free Wi-Fi connection.","The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop.",b,a,20,0.5344470143318176,0.4523197412490845,0.013233248144388199,NEUTRAL,gen
"

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves. It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center. The chambers are roomy and neat, containing a recently refurbished restroom. Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips. Sadly, there isn't any free Wi-Fi connection.","The rooms in the hotel are spacious and clean, with a renovated bathroom.",b,a,20,0.27844178676605225,0.620159924030304,0.10139825195074081,CONTRADICTION,gen
"

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves. It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center. The chambers are roomy and neat, containing a recently refurbished restroom. Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips. Sadly, there isn't any free Wi-Fi connection.","The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants.",b,a,20,0.3697153329849243,0.6151154637336731,0.015169212594628334,CONTRADICTION,gen
"

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves. It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center. The chambers are roomy and neat, containing a recently refurbished restroom. Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips. Sadly, there isn't any free Wi-Fi connection.",The internet access was not free.,b,a,20,0.2635705769062042,0.6865071654319763,0.049922287464141846,CONTRADICTION,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.",The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay.,comm,a,20,0.9090675115585327,0.05981442704796791,0.031118040904402733,NEUTRAL,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.","The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop.",comm,a,20,0.765821635723114,0.21735912561416626,0.016819311305880547,NEUTRAL,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.","The rooms in the hotel are spacious and clean, with a renovated bathroom.",comm,a,20,0.3701375424861908,0.09536348283290863,0.5344989895820618,ENTAILMENT,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.","The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants.",comm,a,20,0.8898583054542542,0.08745940774679184,0.022682275623083115,NEUTRAL,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.",The internet access was not free.,comm,a,20,0.5286033749580383,0.20041590929031372,0.27098074555397034,NEUTRAL,gen
"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.","

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves.",a,b,20,0.013825123198330402,0.0008676068391650915,0.9853073358535767,ENTAILMENT,gen
"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.","It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center.",a,b,20,0.9199948906898499,0.0741787776350975,0.0058262827806174755,NEUTRAL,gen
"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.","The chambers are roomy and neat, containing a recently refurbished restroom.",a,b,20,0.7096198201179504,0.054470762610435486,0.23590940237045288,NEUTRAL,gen
"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.","Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips.",a,b,20,0.8227981328964233,0.062275078147649765,0.11492684483528137,NEUTRAL,gen
"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.","Sadly, there isn't any free Wi-Fi connection.",a,b,20,0.5275712609291077,0.3486536741256714,0.12377510964870453,NEUTRAL,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.","

We were thrilled with our visit to the Oceania Hotel, which was suggested to us by Rick Steves.",comm,b,20,0.01567067950963974,0.001970290672034025,0.982358992099762,ENTAILMENT,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.","It is conveniently located near the Piazza della Repubblica, next to the metro and just a few steps away from a hop on hop off city tour center.",comm,b,20,0.7015281915664673,0.26204603910446167,0.036425817757844925,NEUTRAL,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.","The chambers are roomy and neat, containing a recently refurbished restroom.",comm,b,20,0.2596041262149811,0.062268875539302826,0.6781269907951355,ENTAILMENT,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.","Although the bed wasn't particularly pleasant, the proprietor could converse in English fluently and provided us with restaurant tips.",comm,b,20,0.857118546962738,0.09399084001779556,0.04889068379998207,NEUTRAL,gen
"

We were really pleased with our stay at the Oceania Hotel as it was recommended to us by Rick Steves. It had an excellent location near Piazza della Repubblica and it was right by the metro station, with a hop-on hop-off tour center only a few steps away. The rooms were spacious and clean, with a newly renovated bathroom. The bed wasn't very comfortable, but the owner could talk in English fluently and gave us advice on restaurants. Unfortunately, there was no free Wi-Fi provided.","Sadly, there isn't any free Wi-Fi connection.",comm,b,20,0.11117607355117798,0.1058669164776802,0.7829570174217224,ENTAILMENT,gen
"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.",The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay.,a,comm,20,0.925359308719635,0.07094329595565796,0.003697455395013094,NEUTRAL,gen
"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.","The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop.",a,comm,20,0.8514851927757263,0.14404553174972534,0.004469309467822313,NEUTRAL,gen
"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.","The rooms in the hotel are spacious and clean, with a renovated bathroom.",a,comm,20,0.9019859433174133,0.06971053779125214,0.02830345556139946,NEUTRAL,gen
"The Oceania hotel was recommended to us by Rick Steves and we couldn't have been more pleased with our stay. The hotel is in an excellent location, on a quiet side street just off the Piazza della Repubblica, close to the metro and a step-on, step-off city tour bus stop. The rooms in the hotel are spacious and clean, with a renovated bathroom. The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants. The internet access was not free.","The bed was not very comfortable, but the owner of the hotel spoke English well and provided recommendations for restaurants.",a,comm,20,0.9401825070381165,0.04732086881995201,0.012496691197156906,NEUTRAL,gen
