Sentence1,Sentence2,Sent1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,2_1_neut,2_1_cont,2_1_ent,2_1_Label,Type
This is an all suite hotel.,It was overpriced at this hotel.,a,b,0,0.9615582227706909,0.011630067601799965,0.026811793446540833,neutral,0.9853164553642273,0.012885654345154762,0.0017977748066186905,neutral,ref
This is an all suite hotel.,The cleaning standards were only okay.,a,b,0,0.973838746547699,0.00859830155968666,0.017563024535775185,neutral,0.9253590106964111,0.07171008735895157,0.0029308462981134653,neutral,ref
This is an all suite hotel.,This hotel isn't in a great location.,a,b,0,0.9493162035942078,0.04621810466051102,0.004465713165700436,neutral,0.9512971639633179,0.047034792602062225,0.001668045879341662,neutral,ref
This is an all suite hotel.,It is outside of the old town.,a,b,0,0.9919507503509521,0.002409714972600341,0.005639608018100262,neutral,0.9864670634269714,0.010501502081751823,0.003031358355656266,neutral,ref
This is an all suite hotel.,Some good attractions are located in the old town.,a,b,0,0.9837290644645691,0.0026722741313278675,0.013598758727312088,neutral,0.7363870143890381,0.2564590275287628,0.007153985556215048,neutral,ref
This is an all suite hotel.,It is somewhat nice to be away from the main strip.,a,b,0,0.9881324172019958,0.0025362325832247734,0.00933135487139225,neutral,0.9784581065177917,0.01856917142868042,0.002972695743665099,neutral,ref
This is an all suite hotel.,It could have been closer to the main attractions.,a,b,0,0.9974135756492615,0.0009520235471427441,0.0016344449250027537,neutral,0.6873145699501038,0.30681318044662476,0.005872328300029039,neutral,ref
This is an all suite hotel.,Some of the staff were rude.,a,b,0,0.9966754913330078,0.0020251565147191286,0.0012993160635232925,neutral,0.9154645800590515,0.08100811392068863,0.0035272228997200727,neutral,ref
This is an all suite hotel.,Some of the staff were unhelpful.,a,b,0,0.9942094087600708,0.002855662489309907,0.0029348828829824924,neutral,0.8989238142967224,0.09798648953437805,0.003089602803811431,neutral,ref
This is an all suite hotel.,You can eat your breakfast at the outside restaurant when staying at this hotel.,a,b,0,0.9803512692451477,0.0019626386929303408,0.017686014994978905,neutral,0.9821934700012207,0.01424319576472044,0.0035633461084216833,neutral,ref
This is an all suite hotel.,Eating at the outside restaurant is really enjoyable.,a,b,0,0.9937269687652588,0.0018866400932893157,0.004386372864246368,neutral,0.5951786041259766,0.39718836545944214,0.007633022032678127,neutral,ref
This is an all suite hotel.,This is a great stay.,a,b,0,0.8760484457015991,0.001716126687824726,0.12223539501428604,neutral,0.9974014759063721,0.0007933937013149261,0.0018051349325105548,neutral,ref
This is an all suite hotel.,You can ask for a reduced rate.,a,b,0,0.9911268353462219,0.004667561035603285,0.0042055570520460606,neutral,0.9798805117607117,0.017336633056402206,0.002782910829409957,neutral,ref
This is an all suite hotel.,The reduced rate is available for Florida residents.,a,b,0,0.9953886270523071,0.0018966657808050513,0.002714709145948291,neutral,0.9926745295524597,0.0053987349383533,0.0019267718307673931,neutral,ref
This is an all suite hotel.,The pool is really worth checking out.,a,b,0,0.9935986995697021,0.0016074267914518714,0.004793873056769371,neutral,0.9091662764549255,0.08367161452770233,0.0071621304377913475,neutral,ref
