Summary1,Sentence2,Summary1_entity,Sent2_entity,Sample,1_2_neut,1_2_cont,1_2_ent,1_2_Label,Type
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.",This all suite hotel is flawless.,b,a,0,0.11288263648748398,0.2721363604068756,0.6149809956550598,ENTAILMENT,ref
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.","Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.",b,a,0,0.08893059194087982,0.0031270075123757124,0.9079424142837524,ENTAILMENT,ref
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.",This hotel is so close to the beach and is perfectly located for peace and quiet.,b,a,0,0.2803662419319153,0.007894018664956093,0.711739718914032,ENTAILMENT,ref
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.","The airport and Duval street is only a short shuttle away, but downtown is quite far away.",b,a,0,0.8818321228027344,0.02837201952934265,0.08979576081037521,NEUTRAL,ref
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.",Morden rooms with great size and a lot of storage space.,b,a,0,0.6110143661499023,0.015059647150337696,0.37392598390579224,NEUTRAL,ref
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.",The beds are super comfortable.,b,a,0,0.26897746324539185,0.028335077688097954,0.7026874423027039,ENTAILMENT,ref
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.",The bathroom is also pretty large with a nice vanity area.,b,a,0,0.320607990026474,0.005867520812898874,0.6735244989395142,ENTAILMENT,ref
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.",The staff were even willing to help with last minute late checkout request.,b,a,0,0.30811432003974915,0.08025646209716797,0.6116292476654053,ENTAILMENT,ref
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.","The restaurant provides great food, but it closes too early for us.",b,a,0,0.8144141435623169,0.009015094488859177,0.17657075822353363,NEUTRAL,ref
"

This all suite hotel is impeccable, especially during the holiday season, when it is decorated with festive Christmas lights and palm trees. Its location is ideal for making the most of the peace and quiet, close to the beach and just a short shuttle ride away from the airport and Duval street -- though downtown is quite a trek. The rooms are modern with ample storage space and the beds are incredibly comfortable. The bathrooms are rather roomy too with a nice vanity area and the staff is accommodating, even to last minute requests for late check-out. The restaurant offers delicious food, though it closes quite early. The hotel even provides bikes for hire! However, nearby parking can be quite expensive for daily use. The elevators can feel a bit unsafe.",The hotel actually has bikes to rent.,b,a,0,0.019511360675096512,0.008460723794996738,0.9720279574394226,ENTAILMENT,ref
