,example_no,split,entity_a,entity_a_name,entity_b,entity_b_name,summ_type,summ_no,sent_id,complex_sent,simple_sent_id,simple_sent
0,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N000,This all suite hotel is flawless.,E000RA00N000_000,This is an all suite hotel.
1,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N000,This all suite hotel is flawless.,E000RA00N000_001,The hotel is flawless.
2,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N001,"Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.",E000RA00N001_000,"Around the holidays season, the hotel was well decorated for X-mas."
3,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N001,"Around the holidays season, the hotel was well decorated for X-mas with lovely Palm trees and Christmas lights.",E000RA00N001_001,There were lovely Palm trees and Christmas lights.
4,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N002,This hotel is so close to the beach and is perfectly located for peace and quiet.,E000RA00N002_000,This hotel is so close to the beach.
5,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N002,This hotel is so close to the beach and is perfectly located for peace and quiet.,E000RA00N002_001,This hotel is perfectly located for peace and quiet.
6,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N003,"The airport and Duval street is only a short shuttle away, but downtown is quite far away.",E000RA00N003_000,The airport and Duval street are only a short shuttle away.
7,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N003,"The airport and Duval street is only a short shuttle away, but downtown is quite far away.",E000RA00N003_001,Downtown is quite far away.
8,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N004,Morden rooms with great size and a lot of storage space.,E000RA00N004_000,The rooms are modern.
9,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N004,Morden rooms with great size and a lot of storage space.,E000RA00N004_001,The rooms are of great size.
10,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N004,Morden rooms with great size and a lot of storage space.,E000RA00N004_002,There is a lot of storage space.
